resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,firmas,efecto_porcentual
Empleo total (trabajadores),-1.723609273337425,1.3155813024994356,0.19020402532111,,-4.302148626236319,0.8549300795614687,49669,5098,NA
Empleo total (log),-0.009018147645531403,0.007366538299302453,0.22093175987136848,,-0.02345656271216421,0.005420267421101405,49653,5098,-0.9018147645531404
