anio,coeficiente,error_estandar,ic95_inferior,ic95_superior
2015,-0.007720192776748221,0.011654979203409513,-0.030563952015430867,0.015123566461934423
2016,-0.008158471165645194,0.0109987029361175,-0.029715928920435494,0.013398986589145108
2017,-0.010682209919417289,0.010242447703113128,-0.03075740741751902,0.009392987578684444
2018,-0.01498798235654147,0.009155413728718866,-0.032932593264830445,0.002956628551747508
2019,-0.01770251754192203,0.007963623638079865,-0.03331121987255856,-0.002093815211285495
2020,-0.013823715745004109,0.007006097101898627,-0.02755566606472542,-9.176542528280089e-5
2021,-0.007824113053528724,0.005571791267392362,-0.018744823937617755,0.003096597830560306
2022,0,0,0,0
2023,-0.01729256116666668,0.006079100544511256,-0.02920759823390874,-0.005377524099424618
2024,-0.02100290791087382,0.007794799350218909,-0.03628071463730288,-0.005725101184444756
