medida,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,efecto_porcentual
A. Cambio 2022 -> 2023,0.040276251994552224,0.005686096379465826,1.4077480356109103e-12,***,0.029131503090799205,0.051421000898305244,4.027625199455223
B. Salto 2023 frente al cambio anual típico 2016-2019,0.04781614390824541,0.006084898399875907,3.8979738704440386e-15,***,0.03588974304448863,0.059742544772002186,4.781614390824541
C. Promedio después menos promedio antes (DiD simple),-0.009054664104569126,0.003943025104374176,0.021694828984690277,**,-0.016782993309142513,-0.0013263348999957413,-0.9054664104569127
