anio,coeficiente,error_estandar,ic95_inferior,ic95_superior
2015,1.040000433025671,2.0281896251347136,-2.9352512322383677,5.015252098289709
2016,0.36122115386231646,2.24131689916565,-4.0317599685023575,4.75420227622699
2017,1.3155924162462038,2.1055717753859486,-2.8113282635102554,5.4425130960026635
2018,1.0490361794546252,1.8428620002379275,-2.5629733410117126,4.661045699920963
2019,0.7959657756037062,1.5485013292622982,-2.239096829750398,3.831028380957811
2020,1.0082692082259779,1.4578237875983453,-1.849065415466779,3.865603831918735
2021,1.0537084076495904,1.3304245095264116,-1.553923631022176,3.661340446321357
2022,0,0,0,0
2023,-1.0055082134841637,1.415829604719157,-3.7805342387337113,1.769517811765384
2024,-0.7883696585562405,1.631988624406881,-3.9870673623937276,2.4103280452812466
