ANIO,exposicion,brecha_admin_obrero_pct,brecha_prof_obrero_pct,firmas_con_dato_admin,firmas_con_dato_prof
2015,Baja exposición,55.265364852138354,50.18754218160257,2081,1581
2015,Alta exposición,45.72052108479339,51.487309017875035,1978,1102
2016,Baja exposición,55.55227832038998,48.92539069226913,2161,1677
2016,Alta exposición,46.48219662405735,49.653579663744466,2066,1204
2017,Baja exposición,53.90579845166972,50.30807625406002,2222,1717
2017,Alta exposición,46.13542153382717,48.08258137245911,2131,1203
2018,Baja exposición,55.85947013666317,47.15539109328644,2263,1786
2018,Alta exposición,48.460842671409665,46.20528442553695,2175,1224
2019,Baja exposición,55.25167317516875,46.59070173147519,2276,1793
2019,Alta exposición,51.008240075184474,45.799040024580236,2209,1274
2021,Baja exposición,69.67248978391555,47.81522665175846,2345,1768
2021,Alta exposición,58.24222684780116,45.0761383023341,2278,1269
2022,Baja exposición,65.6003808076183,39.571838863625516,2426,1870
2022,Alta exposición,61.530505324350585,55.124100386431785,2366,1317
2023,Baja exposición,70.49932839298778,44.10590326487718,2352,1799
2023,Alta exposición,56.458176484256484,45.53659939812231,2253,1251
2024,Baja exposición,68.98580939168593,42.19383136331487,2255,1762
2024,Alta exposición,54.24861822594815,39.16870718551549,2112,1212
