ANIO,empleo_total,empleo_permanente,empleo_temporal,participacion_permanente
2015,84.45047085469066,49.03528430087019,32.95470258672071,66.62181459374851
2016,92.46368286445012,54.22595907928389,35.47595907928389,66.46476037406798
2017,94.75417661097852,56.385574118271016,35.469769291964994,66.71943028881954
2018,97.40724917309812,57.53872657111356,36.83654906284454,66.47106542831423
2019,100.67812142038946,59.23911798396335,38.23424971363116,66.46955785491603
2021,103.95127539330991,61.5136703833817,39.58347334657095,66.77723553371982
2022,114.70239249919172,66.84933721306176,44.84901390236017,66.51745539100818
2023,117.38682791305769,70.30658604347116,44.03382905703546,66.9559432193166
2024,122.19772308722585,73.79641721078185,45.104135275405994,67.12262837853052
