indicador,alta_exposicion,baja_exposicion,diferencia_alta_menos_baja
Cambio % del salario promedio,37.38916569651518,46.51936927021643,-9.130203573701252
Cambio % del empleo promedio,3.8525368012848116,9.151305602424674,-5.298768801139863
