exposicion,salario_promedio_Antes (2015-2022),salario_promedio_Después (2023-2024),empleo_promedio_Antes (2015-2022),empleo_promedio_Después (2023-2024),cambio_salario_pct,cambio_empleo_pct
Baja exposición,35047.79079797718,51351.802020341114,176.8919848641211,193.07991098523163,46.51936927021643,9.151305602424674
Alta exposición,25029.168816179554,34387.36621732143,64.48657333027313,66.97094229970942,37.38916569651518,3.8525368012848116
