Estadístico,empleo_total,empleo_permanente,empleo_temporal,participacion_permanente
Media,101.79532284768212,60.16210838003056,38.702639454915946,66.6657815651778
DE,214.94033564249327,135.75271145257307,110.38224675205689,36.2998582168809
Mediana,35,20,5,84.0909090909091
N_faltante,0,0,0,135
