Estadístico,C3R23C3,C3R41C3,C7R10C2,VALORVEN
Media,739728.0718765919,223857.65543810496,2495950.2818390224,44828643.88829279
Mediana,41543,0,32742.5,3578340
pct_en_0,0.02750891492613347,0.7371529546612328,0.32978858889454915,1.4327559857361182e-4
N_faltante,0,0,0,0
