medida,quintil,firmas,crecimiento_mediano_pct,crecimiento_medio_pct
quintil_bite,1,973,10.741020729482308,7.236669983767885
quintil_bite,2,973,11.396293095093423,10.114586918135004
quintil_bite,3,973,11.74215215690808,12.421726747534345
quintil_bite,4,972,12.385794992989663,10.779340128938752
quintil_bite,5,972,14.556169483874793,13.563899152291636
quintil_golpe_c,1,1116,10.573263626467156,6.152283187663188
quintil_golpe_c,2,1116,12.007301454151985,10.716024735116324
quintil_golpe_c,3,1115,11.534250105961362,10.614824867231887
quintil_golpe_c,4,1115,11.881008795325565,12.270517855085728
quintil_golpe_c,5,1115,14.549715076955883,13.363762981303973
