medida,coeficiente,efecto_pct,p_valor,significancia,observaciones
Golpe costo (costo laboral total),0.08906998525994751,8.906998525994752,2.764739017910646e-30,***,4837
Golpe A (armónica ponderada),0.04057793537764087,4.057793537764088,5.324533230539931e-10,***,4837
"Golpe C (nivel salarial, 3 categorías)",0.036874739420404486,3.6874739420404485,4.406813966025961e-11,***,4837
Bite (Kaitz de obreros),0.02904681911929957,2.9046819119299574,1.7554513995369894e-8,***,4837
Exposure (proporción de obreros),7.848873455608843e-5,0.007848873455608843,0.9897600127352124,,4837
