pareja,coef_base_2022,p_base_2022,coef_base_2019,p_base_2019,porcentaje_que_sobrevive
Golpe costo,0.09597424752300188,3.558397472294667e-36,0.010174640621102385,0.029722123404113194,10.6
Golpe C,0.03563955006957697,2.6811530809914145e-12,0.007578679499903986,0.09601363206335409,21.3
Golpe A,0.034585184272397027,2.299009600547686e-11,0.008719866377528453,0.029171992457664914,25.2
