medida,coeficiente,error_agrupado_sector,p_agrupado,significancia
Bite (Kaitz de obreros),0.02983158961147445,0.008311001874043268,4.931660936549401e-4,***
Exposure (proporción de obreros),0.001934349597566974,0.004899468550137972,0.6937354111312185,
"Golpe C (nivel salarial, 3 categorías)",0.03563955006957697,0.006982753547997512,1.3725423034834252e-6,***
Golpe A (armónica ponderada),0.034585184272397027,0.007076176905191526,3.432081318939354e-6,***
Golpe costo (costo laboral total),0.09597424752300188,0.008530560096892818,4.16593447612745e-20,***
