resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,firmas,efecto_porcentual
Empleo total (trabajadores),-1.7279307994131738,1.3428505781515052,0.1982352500277126,,-4.359917932590124,0.9040563337637761,44630,5098,NA
Empleo total (log),-0.009636807891302297,0.007510513228110143,0.19951219312938648,,-0.024357413818398177,0.005083798035793582,44615,5098,-0.9636807891302297
