medida,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,efecto_porcentual
A. Cambio 2022 -> 2023,0.040371852636299,0.0056888195027944,1.277698139370315e-12,***,0.029221766410821977,0.05152193886177602,4.0371852636299
B. Salto 2023 frente al cambio anual típico 2016-2019,0.04790335418942755,0.006092001668895027,3.740858960254676e-15,***,0.0359630309183933,0.059843677460461805,4.790335418942755
C. Promedio después menos promedio antes (DiD simple),-0.010012233135166092,0.003976839844246298,0.011844960473368192,**,-0.017806839229888835,-0.002217627040443348,-1.0012233135166093
