resultado,quintil,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,efecto_porcentual
Salario promedio (log),Q2,0.007823663904779852,0.010493570814344183,0.4559631850663868,,-0.012743734891334747,0.02839106270089445,0.7823663904779852
Salario promedio (log),Q3,1.592800964881312e-4,0.011238956124664932,0.9886931988687757,,-0.021869073907855138,0.0221876341008314,0.01592800964881312
Salario promedio (log),Q4,-0.025727281855354278,0.011410424631112382,0.024193347104887384,**,-0.04809171413233455,-0.0033628495783740095,-2.5727281855354276
Salario promedio (log),Q5 (más expuestas),-0.02508895816139873,0.012044069856599946,0.03729216290337063,**,-0.04869533508033462,-0.0014825812424628347,-2.508895816139873
Empleo total (log),Q2,-0.005638185742654751,0.019235934992016646,0.7694523563884692,,-0.04334061832700738,0.03206424684169787,-0.5638185742654751
Empleo total (log),Q3,0.004603207070602067,0.020750713855860227,0.8244522523178183,,-0.03606819208688397,0.04527460622808811,0.4603207070602067
Empleo total (log),Q4,-0.02776458405948094,0.021692366214038514,0.20063005343808465,,-0.07028162183899643,0.014752453720034548,-2.776458405948094
Empleo total (log),Q5 (más expuestas),-0.026291914322078672,0.0221049006374737,0.23433155716046328,,-0.06961751957152712,0.01703369092736978,-2.6291914322078673
