resultado,quintil,coeficiente,error_estandar,p_valor,significancia,efecto_porcentual
Salario promedio (log),Q2,0.024277039585794174,0.010697756511037364,0.02329182784475163,**,2.4277039585794173
Salario promedio (log),Q3,0.041023702562604125,0.010018818828882005,4.299062375838796e-5,***,4.1023702562604125
Salario promedio (log),Q4,0.06093337967903263,0.010956934249762205,2.828570646496724e-8,***,6.093337967903263
Salario promedio (log),Q5 (más expuestas),0.09405310086792994,0.01171651048485343,1.2485127041938817e-15,***,9.405310086792994
Empleo total (log),Q2,0.026305925877272127,0.016667991868404584,0.11458027777092757,,2.6305925877272127
Empleo total (log),Q3,0.015630467406449383,0.01611460948219176,0.33211833346487907,,1.5630467406449382
Empleo total (log),Q4,0.03677416045353074,0.016486852531627624,0.025760490947956866,**,3.677416045353074
Empleo total (log),Q5 (más expuestas),0.03461787959907626,0.017701726613837312,0.050569098457048545,*,3.461787959907626
