quintil,firmas,kaitz_minimo,kaitz_promedio,kaitz_maximo,empleo_promedio,empleo_total_2022,porcentaje_del_empleo
Q1 (menos expuestas),1020,0.2552102335499303,0.48968673141245694,0.6360763800830541,262.8509803921569,268108,41.3
Q2,1022,0.6361282656963799,0.716353764485539,0.7885476647472809,157.99706457925635,161473,24.9
Q3,1017,0.7888124073618241,0.8608800193804381,0.926899307072851,96.43657817109144,98076,15.1
Q4,1020,0.9269453421884433,0.9988815921045636,1.0755248648100173,68.74215686274509,70117,10.8
Q5 (más expuestas),1020,1.0755845400176174,1.1892409494327756,1.6115748888355956,49.71862745098039,50713,7.8
