muestra,resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,efecto_porcentual
Todas las firmas,Salario promedio (log),-0.010012233135166092,0.003976839844246298,0.011844960473368192,**,-0.017806839229888835,-0.002217627040443348,44614,-1.0012233135166093
Sin el quintil más expuesto,Salario promedio (log),-0.010150444873204736,0.0055538820289933125,0.06767804082129693,*,-0.021036053650031628,7.351639036221568e-4,35728,-1.0150444873204736
Todas las firmas,Empleo total (log),-0.009636807891302297,0.007510513228110143,0.19951219312938648,,-0.024357413818398177,0.005083798035793582,44615,-0.9636807891302297
Sin el quintil más expuesto,Empleo total (log),-0.0028820229245030142,0.010299648749199261,0.7796316447678739,,-0.023069334472933564,0.017305288623927537,35729,-0.28820229245030143
