nombre,efecto_pct,ic95_inferior_pct,ic95_superior_pct,p_valor,significancia,observaciones
Bite,1.145473923124766,0.2937024477654824,1.9972453984840495,0.008427667735185676,***,3880
Golpe costo,1.0174640621102384,0.10030520620748148,1.9346229180129955,0.029722123404113194,**,5486
Golpe A,0.8719866377528452,0.08862721884412735,1.6553460566615632,0.029171992457664914,**,5417
Golpe C,0.7578679499903986,-0.1343891369479655,1.6501250369287628,0.09601363206335409,*,5439
Exposure,0.4574709497370809,-0.45079460000738614,1.365736499481548,0.3235841735698807,,5912
