nombre,n_ambos,pearson,spearman
Bite,3691,0.5698915284577086,0.5525093503328868
Exposure,6066,0.7601012023953929,0.7611203732266457
Golpe C,5436,0.7227936991065268,0.7232949897231876
Golpe A,5409,0.7322423793385908,0.7384284186397073
Golpe costo,5557,0.7315592796772448,0.7371081500433299
