nombre,coef_2022,p_2022,sig_2022,n_2022,coef_2019,p_2019,sig_2019,n_2019,razon_2019_sobre_2022
Bite,0.02983158961147445,6.860453335223078e-9,***,4863,0.01145473923124766,0.008427667735185676,***,3880,0.3839801827671194
Exposure,0.001934349597566974,0.703330782745696,,6017,0.004574709497370809,0.3235841735698807,,5912,2.364985886276649
Golpe C,0.03563955006957697,2.6811530809914145e-12,***,5577,0.007578679499903986,0.09601363206335409,*,5439,0.21264801281465623
Golpe A,0.034585184272397027,2.299009600547686e-11,***,5572,0.008719866377528453,0.029171992457664914,**,5417,0.2521272203973166
Golpe costo,0.09597424752300188,3.558397472294667e-36,***,5942,0.010174640621102385,0.029722123404113194,**,5486,0.10601427866015681
