nombre,coef_estandar,sig_estandar,n_estandar,coef_base21,sig_base21,n_base21,razon_21,coef_base19,sig_base19,razon_19
Bite,0.02983158961147445,***,4863,0.0046173983037304505,,4828,0.15478217432819638,-0.01748719055814396,***,-0.5861970745071416
Exposure,0.001934349597566974,,6017,0.007112928304869006,,5971,3.677167929631568,-9.541438227542547e-4,,-0.4932633811149636
Golpe C,0.03563955006957697,***,5577,-0.004388593592680879,,5536,-0.1231382995608331,-0.03600112383584918,***,-1.0101452954811811
Golpe A,0.034585184272397027,***,5572,-0.0012247981730524771,,5531,-0.03541395539216507,-0.026482315560722943,***,-0.7657127211509146
Golpe costo,0.09597424752300188,***,5942,0.005834287273920354,,5896,0.06079013302523749,-0.04744915685500928,***,-0.49439467440093526
