grupo,mecanismo,efecto_pct,ic95_inf_pct,ic95_sup_pct,p_valor,significancia_cruda,p_ajustado_bh,significancia_ajustada,p_previos,observaciones
1. Composición contractual,Usa agencias (indicador),1.8505618218383062,1.0286692767244847,2.672454366952128,1.0189678589496833e-5,***,1.0611184266359443e-4,***,2.131178821018914e-9,44627
1. Composición contractual,Personal de agencias (log),1.546786481791577,-2.7871441307946587,5.880717094377813,0.484222742006047,,0.63804677383332,,0.4462536036175575,15633
1. Composición contractual,Temporal directo (log),-1.298039086536322,-4.976363631785186,2.3802854587125424,0.48914973594314687,,0.63804677383332,,0.0020325910842968584,16221
1. Composición contractual,Empleo temporal (log),1.1818707510039284,-1.8471485345814893,4.210890036589346,0.44441567333209236,,0.63804677383332,,2.4508501153988213e-6,23811
1. Composición contractual,Empleo permanente (log),-1.1613433919712146,-2.8424288492101444,0.5197420652677153,0.17572815294769417,,0.3354810192637798,,0.034406633618097954,43675
1. Composición contractual,% permanentes,-1.1319969930067966,-1.7111032940543238,-0.5528906919592693,1.2748216336948414e-4,***,3.8244649010845246e-4,***,7.925267871453624e-12,44612
1. Composición contractual,% temporales,1.1144272911905662,0.5392541648409821,1.6896004175401504,1.4610381459727954e-4,***,3.835225133178588e-4,***,1.244496594109246e-11,44612
1. Composición contractual,% de agencias,0.5339163374065579,0.28760569129449526,0.7802269835186204,2.1510824114620844e-5,***,1.0828370205660459e-4,***,1.4185177012756789e-4,44612
2. Composición ocupacional,Obreros (log),-0.50151398013469906,-2.0097396089311372,1.0067116486617396,0.514570441057979,,0.63804677383332,,0.0015046149743785605,44246
2. Composición ocupacional,% obreros (OJO: circular),-0.008638639578426597,-0.4118629506088122,0.3945856714519589,0.9665059883477646,,0.9665059883477646,,0.2879539267539317,44612
3. Compresión salarial,Salario obrero / salario admin (log),11.500811830460858,9.928811234577429,13.072812426344289,1.2407176337863525e-46,***,2.6055070309513402e-45,***,1.3923803700461635e-51,40733
4. Tercerización,Hace outsourcing (indicador),2.2993324139077327,1.0901269545449421,3.508537873270523,1.9378340032528472e-4,***,4.521612674256644e-4,***,3.197836779987806e-4,44627
4. Tercerización,Honorarios y servicios técnicos (log),1.2473053189820307,-2.208814976168114,4.7034256141321755,0.4793432959946018,,0.63804677383332,,8.212905026893504e-5,41362
4. Tercerización,Pago a agencias temporales (log),1.1360838699225422,-4.313143809367821,6.585311549212906,0.6828103386818845,,0.7546851111747145,,0.18263811643133207,15975
4. Tercerización,Outsourcing (log),-0.8375037156060944,-11.043492914857811,9.368485483645623,0.8722212736333307,,0.9158323373149972,,0.6914483614201176,12653
5. Capital,Inversión bruta (log),2.336545477297162,-5.256621969100923,9.929712923695247,0.5464255346862449,,0.63804677383332,,0.02085869064858697,31132
5. Capital,Invierte (indicador),0.43871655133522297,-0.9886764487756703,1.8661095514461161,0.5468972347142742,,0.63804677383332,,0.023495458904912475,44627
6. Producción,Producción bruta (log),3.928450556331297,2.1487212884457856,5.708179824216808,1.5158834666227777e-5,***,1.0611184266359443e-4,***,2.1303527480487034e-17,44627
6. Producción,"Productividad (VA / trabajador, log)",3.8739461779590347,1.994809613961352,5.753082741956717,5.330309548693914e-5,***,1.8656083420428698e-4,***,7.980434880184794e-11,44612
6. Producción,Ventas (log),3.7938186041135387,2.026670431984019,5.560966776243058,2.5781833823001092e-5,***,1.0828370205660459e-4,***,7.343714521047347e-16,44621
6. Producción,Valor agregado (log),3.6110728984724325,1.4085678475857673,5.8135779493590976,0.0013113756297410235,***,0.0027538888224561495,***,8.093562700622606e-11,44627
