eslabon,lectura,efecto_pct,ic95_inf_pct,ic95_sup_pct,p_valor,significancia,p_previos
1. Costo laboral por trabajador,A. Cambio 2022 -> 2023,4.02977503790623,2.9210132780590103,5.13853679775345,1.0515505209585567e-12,***,3.8464652694607765e-38
1. Costo laboral por trabajador,B. Salto 2023 ajustado por tendencia previa,4.797050174748977,3.6088955901649786,5.985204759332974,2.5066340705654495e-15,***,3.8464652694607765e-38
1. Costo laboral por trabajador,C. DiD simple (promedio post - pre),-1.1252659295407532,-1.9002666487128037,-0.3502652103687025,0.004447250114781435,***,3.8464652694607765e-38
2. Empleo total (log),A. Cambio 2022 -> 2023,-0.2678268341325101,-1.3546702943214644,0.8190166260564442,0.6290988697110833,,1.706278398128888e-4
2. Empleo total (log),B. Salto 2023 ajustado por tendencia previa,0.5864170280461803,-0.6163858156992736,1.7892198717916343,0.33928319519156735,,1.706278398128888e-4
2. Empleo total (log),C. DiD simple (promedio post - pre),-1.4994494017034703,-2.6748017196072174,-0.324097083799723,0.012434392806029355,**,1.706278398128888e-4
