medida,lectura,efecto_pct,ic95_inf_pct,ic95_sup_pct,p_valor,significancia,p_previos,observaciones
Bite (Kaitz de obreros),A. Cambio 2022 -> 2023,4.02977503790623,2.9210132780590103,5.13853679775345,1.0515505209585567e-12,***,3.8464652694607765e-38,44611
Bite (Kaitz de obreros),B. Salto 2023 ajustado por tendencia previa,4.797050174748977,3.6088955901649786,5.985204759332974,2.5066340705654495e-15,***,3.8464652694607765e-38,44611
Bite (Kaitz de obreros),C. DiD simple (promedio post - pre),-1.1252659295407532,-1.9002666487128037,-0.3502652103687025,0.004447250114781435,***,3.8464652694607765e-38,44611
Exposure (proporción de obreros),A. Cambio 2022 -> 2023,0.2364733447511655,-0.7581862840235848,1.2311329735259158,0.6412325064963802,,0.008415850173460377,53984
Exposure (proporción de obreros),B. Salto 2023 ajustado por tendencia previa,0.5865277919239544,-0.4603965873075709,1.63345217115548,0.2721746667854024,,0.008415850173460377,53984
Exposure (proporción de obreros),C. DiD simple (promedio post - pre),-0.26201491518740455,-0.9935587784119878,0.46952894803717876,0.482700969978041,,0.008415850173460377,53984
"Golpe C (nivel salarial, 3 categorías)",A. Cambio 2022 -> 2023,4.766937471736168,3.6920722419248793,5.841802701547456,3.547490244487023e-18,***,2.6533248646455986e-85,50183
"Golpe C (nivel salarial, 3 categorías)",B. Salto 2023 ajustado por tendencia previa,6.030638318928553,4.883947061149774,7.177329576707331,6.4861466941374365e-25,***,2.6533248646455986e-85,50183
"Golpe C (nivel salarial, 3 categorías)",C. DiD simple (promedio post - pre),-2.5049658152785845,-3.2547698269953087,-1.7551618035618604,6.337262922747742e-11,***,2.6533248646455986e-85,50183
Golpe A (armónica ponderada),A. Cambio 2022 -> 2023,4.77201296057251,3.682755819286227,5.861270101858792,8.948785366554553e-18,***,2.1209364223519643e-67,50183
Golpe A (armónica ponderada),B. Salto 2023 ajustado por tendencia previa,6.021572037223742,4.858706630987967,7.184437443459517,3.337153502729502e-24,***,2.1209364223519643e-67,50183
Golpe A (armónica ponderada),C. DiD simple (promedio post - pre),-1.9209554602304426,-2.6736183590197653,-1.16829256144112,5.832591980725644e-7,***,2.1209364223519643e-67,50183
Golpe costo (costo laboral total),A. Cambio 2022 -> 2023,10.885545656273926,9.518686250051383,12.252405062496468,6.29589611841571e-55,***,1.3594078290885993e-185,53971
Golpe costo (costo laboral total),B. Salto 2023 ajustado por tendencia previa,12.379542140900996,10.972508390316571,13.786575891485423,1.2260598416047623e-66,***,1.3594078290885993e-185,53971
Golpe costo (costo laboral total),C. DiD simple (promedio post - pre),-2.2809222984324173,-3.1091220224948986,-1.4527225743699363,6.990549893308286e-8,***,1.3594078290885993e-185,53971
