outcome,efectos_fijos,controles,variable_cluster,n_clusters,n_obs,n_obs_reconstruido_coincide,ventana,variable_exposicion,referencia
empleo_total,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,5099,49910,FALSE,"2015-2019+2021-2022 (pre) + 2023-2024 (post), 2020 excluido -- panel formal completo","Bite2022_obreros (FIRMA), continua, escalada por su propia SD en la muestra (sd=0.3056), unida por NORDEMP",2022 (ultimo anio pre-tratamiento)
empleo_permanente,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,5099,49910,FALSE,"2015-2019+2021-2022 (pre) + 2023-2024 (post), 2020 excluido -- panel formal completo","Bite2022_obreros (FIRMA), continua, escalada por su propia SD en la muestra (sd=0.3056), unida por NORDEMP",2022 (ultimo anio pre-tratamiento)
empleo_temporal,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,5099,49910,FALSE,"2015-2019+2021-2022 (pre) + 2023-2024 (post), 2020 excluido -- panel formal completo","Bite2022_obreros (FIRMA), continua, escalada por su propia SD en la muestra (sd=0.3056), unida por NORDEMP",2022 (ultimo anio pre-tratamiento)
participacion_permanente,NORDEST + CIIU4^ANIO_F + tamano_empresa^ANIO_F + DPTO_fijo^ANIO_F,"sector (CIIU4) x anio, tamano_empresa x anio, departamento (DPTO_fijo) x anio",NORDEMP,5099,49851,FALSE,"2015-2019+2021-2022 (pre) + 2023-2024 (post), 2020 excluido -- panel formal completo","Bite2022_obreros (FIRMA), continua, escalada por su propia SD en la muestra (sd=0.3056), unida por NORDEMP",2022 (ultimo anio pre-tratamiento)
