medida,particion,variable,term,grupo,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
Bite2022_obreros,Terciles,empleo_temporal,tercil_bite2022_obreros::T3 - Alta:post_2023,T3 - Alta,-6.386113,1.540881,-4.1445,3.461e-5,-9.406902,-3.365325,T1 - Baja (ref.)
Bite2022_obreros,Terciles,participacion_permanente,tercil_bite2022_obreros::T2 - Media:post_2023,T2 - Media,2.046257,0.70703800000000006,2.8941,0.003818,0.66016,3.432355,T1 - Baja (ref.)
Bite2022_obreros,Terciles,participacion_permanente,tercil_bite2022_obreros::T3 - Alta:post_2023,T3 - Alta,2.985548,0.80034,3.7303,1.933e-4,1.416538,4.554558,T1 - Baja (ref.)
Bite2022_obreros,Quintiles,empleo_total,quintil_bite2022_obreros::Q2 - Baja:post_2023,Q2 - Baja,-2.52931,3.640121,-0.6948,0.4872,-9.665512,4.606891,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_total,quintil_bite2022_obreros::Q3 - Media:post_2023,Q3 - Media,-2.658766,3.209725,-0.8283,0.4075,-8.951205,3.633674,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_total,quintil_bite2022_obreros::Q4 - Alta:post_2023,Q4 - Alta,-4.746472,3.074434,-1.5439,0.1227,-10.773683,1.280739,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_total,quintil_bite2022_obreros::Q5 - Muy alta:post_2023,Q5 - Muy alta,-3.515452,3.398249,-1.0345,0.301,-10.177479,3.146576,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_permanente,quintil_bite2022_obreros::Q2 - Baja:post_2023,Q2 - Baja,2.045969,2.779148,0.7362,0.4617,-3.402355,7.494293,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_permanente,quintil_bite2022_obreros::Q3 - Media:post_2023,Q3 - Media,0.684373,2.415924,0.2833,0.777,-4.051875,5.420622,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_permanente,quintil_bite2022_obreros::Q4 - Alta:post_2023,Q4 - Alta,1.611229,2.241941,0.7187,0.4724,-2.78394,6.006397,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_permanente,quintil_bite2022_obreros::Q5 - Muy alta:post_2023,Q5 - Muy alta,2.040568,3.00185,0.6798,0.4967,-3.844346,7.925483,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_temporal,quintil_bite2022_obreros::Q2 - Baja:post_2023,Q2 - Baja,-4.175274,2.709497,-1.541,0.1234,-9.487052,1.136504,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_temporal,quintil_bite2022_obreros::Q3 - Media:post_2023,Q3 - Media,-3.294464,2.100623,-1.5683,0.1169,-7.412588,0.82366,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_temporal,quintil_bite2022_obreros::Q4 - Alta:post_2023,Q4 - Alta,-6.069133,2.056463,-2.9512,0.003179,-10.100685,-2.037582,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,empleo_temporal,quintil_bite2022_obreros::Q5 - Muy alta:post_2023,Q5 - Muy alta,-5.307591,1.857028,-2.8581,0.004279,-8.948163,-1.66702,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,participacion_permanente,quintil_bite2022_obreros::Q2 - Baja:post_2023,Q2 - Baja,2.091128,0.877289,2.3836,0.01718,0.371265,3.810991,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,participacion_permanente,quintil_bite2022_obreros::Q3 - Media:post_2023,Q3 - Media,1.981058,0.849966,2.3307,0.01981,0.31476,3.647357,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,participacion_permanente,quintil_bite2022_obreros::Q4 - Alta:post_2023,Q4 - Alta,3.136124,0.959984,3.2668,0.001095,1.254143,5.018105,Q1 - Muy baja (ref.)
Bite2022_obreros,Quintiles,participacion_permanente,quintil_bite2022_obreros::Q5 - Muy alta:post_2023,Q5 - Muy alta,3.84324,1.005206,3.8233,1.332e-4,1.872605,5.813875,Q1 - Muy baja (ref.)
