NORDEMP,n_anios,anio_min,anio_max,anios_observados_txt,anios_faltantes_txt
982203,8,2008,2016,"2008,2009,2010,2011,2012,2014,2015,2016",2013
982239,9,2008,2017,"2008,2009,2010,2011,2012,2013,2014,2015,2017",2016
982240,15,2008,2024,"2008,2009,2010,2011,2012,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","2013,2014"
982460,6,2008,2016,"2008,2012,2013,2014,2015,2016","2009,2010,2011"
982694,7,2008,2015,"2008,2009,2011,2012,2013,2014,2015",2010
982705,5,2009,2015,"2009,2012,2013,2014,2015","2010,2011"
982813,5,2008,2013,"2008,2009,2010,2011,2013",2012
982820,4,2008,2013,"2008,2010,2011,2013","2009,2012"
982827,12,2008,2020,"2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020",2010
982835,4,2008,2016,"2008,2014,2015,2016","2009,2010,2011,2012,2013"
982843,16,2008,2024,"2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2011
982846,5,2008,2013,"2008,2009,2011,2012,2013",2010
982863,7,2008,2015,"2008,2009,2010,2011,2013,2014,2015",2012
982898,3,2008,2011,"2008,2009,2011",2010
982934,7,2008,2015,"2008,2009,2010,2011,2013,2014,2015",2012
982939,4,2008,2012,"2008,2009,2010,2012",2011
982988,13,2008,2023,"2008,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023","2009,2010,2011"
983056,4,2008,2013,"2008,2009,2010,2013","2011,2012"
983235,15,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2019,2020,2021,2022,2023,2024","2017,2018"
983271,10,2008,2021,"2008,2009,2010,2015,2016,2017,2018,2019,2020,2021","2011,2012,2013,2014"
983350,16,2008,2024,"2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2010
983386,15,2008,2024,"2008,2009,2010,2011,2012,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","2013,2014"
983402,13,2008,2024,"2008,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024","2009,2010,2011,2023"
983458,6,2008,2015,"2008,2011,2012,2013,2014,2015","2009,2010"
983478,6,2009,2016,"2009,2010,2013,2014,2015,2016","2011,2012"
983482,5,2008,2013,"2008,2009,2010,2011,2013",2012
983527,5,2008,2014,"2008,2010,2012,2013,2014","2009,2011"
983603,8,2008,2016,"2008,2009,2010,2011,2012,2013,2015,2016",2014
983628,16,2008,2024,"2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2010
983677,13,2008,2021,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021",2017
983721,14,2008,2022,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022",2020
983754,8,2008,2016,"2008,2010,2011,2012,2013,2014,2015,2016",2009
983970,14,2008,2024,"2008,2009,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","2010,2011,2012"
983993,7,2008,2015,"2008,2009,2010,2011,2013,2014,2015",2012
984023,15,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024","2022,2023"
984095,2,2008,2013,"2008,2013","2009,2010,2011,2012"
984113,4,2008,2013,"2008,2009,2010,2013","2011,2012"
984140,16,2008,2024,"2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2011
984234,4,2008,2013,"2008,2009,2010,2013","2011,2012"
984304,9,2008,2017,"2008,2009,2011,2012,2013,2014,2015,2016,2017",2010
984409,7,2008,2015,"2008,2009,2010,2011,2013,2014,2015",2012
984456,12,2008,2020,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020",2017
984522,5,2008,2015,"2008,2012,2013,2014,2015","2009,2010,2011"
984552,7,2008,2016,"2008,2009,2010,2012,2014,2015,2016","2011,2013"
984675,2,2008,2010,"2008,2010",2009
984676,4,2008,2013,"2008,2009,2010,2013","2011,2012"
984681,8,2008,2016,"2008,2009,2010,2011,2012,2014,2015,2016",2013
984720,16,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024",2022
984735,4,2008,2013,"2008,2009,2010,2013","2011,2012"
984737,6,2008,2015,"2008,2011,2012,2013,2014,2015","2009,2010"
984738,3,2008,2012,"2008,2009,2012","2010,2011"
984745,10,2008,2018,"2008,2009,2010,2012,2013,2014,2015,2016,2017,2018",2011
984746,10,2008,2018,"2008,2009,2010,2011,2012,2014,2015,2016,2017,2018",2013
984877,15,2008,2024,"2008,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022,2023,2024","2009,2017"
984974,16,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023,2024",2020
985000,15,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2021,2022,2023,2024","2018,2019"
985185,11,2008,2021,"2008,2011,2012,2013,2014,2015,2016,2017,2019,2020,2021","2009,2010,2018"
985187,6,2008,2016,"2008,2009,2011,2014,2015,2016","2010,2012,2013"
985238,15,2008,2024,"2008,2009,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024","2010,2011"
985312,8,2008,2016,"2008,2010,2011,2012,2013,2014,2015,2016",2009
985350,16,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2015
985433,2,2008,2010,"2008,2010",2009
985439,3,2008,2013,"2008,2010,2013","2009,2011,2012"
985517,7,2008,2015,"2008,2009,2010,2012,2013,2014,2015",2011
985535,8,2008,2017,"2008,2009,2012,2013,2014,2015,2016,2017","2010,2011"
985551,16,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024",2022
985584,13,2008,2021,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021",2019
985608,3,2008,2011,"2008,2010,2011",2009
985643,11,2008,2019,"2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019",2012
985713,4,2008,2012,"2008,2010,2011,2012",2009
985980,12,2008,2020,"2008,2009,2010,2011,2013,2014,2015,2016,2017,2018,2019,2020",2012
986042,15,2008,2024,"2008,2009,2010,2011,2012,2013,2016,2017,2018,2019,2020,2021,2022,2023,2024","2014,2015"
986144,16,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2024",2023
986235,16,2008,2024,"2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2011
986247,6,2009,2015,"2009,2011,2012,2013,2014,2015",2010
986273,12,2008,2024,"2008,2009,2010,2011,2012,2018,2019,2020,2021,2022,2023,2024","2013,2014,2015,2016,2017"
986283,7,2008,2015,"2008,2009,2010,2011,2013,2014,2015",2012
986314,14,2008,2023,"2008,2009,2010,2011,2012,2013,2014,2015,2018,2019,2020,2021,2022,2023","2016,2017"
986790,6,2009,2015,"2009,2011,2012,2013,2014,2015",2010
986840,16,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2023,2024",2022
986912,4,2008,2012,"2008,2009,2010,2012",2011
986985,16,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024",2015
986999,10,2008,2019,"2008,2009,2012,2013,2014,2015,2016,2017,2018,2019","2010,2011"
987036,7,2008,2015,"2008,2009,2010,2011,2012,2013,2015",2014
987054,4,2008,2013,"2008,2009,2010,2013","2011,2012"
987067,16,2008,2024,"2008,2009,2010,2011,2012,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024",2013
987098,9,2008,2017,"2008,2009,2010,2011,2012,2013,2014,2016,2017",2015
987291,15,2008,2024,"2008,2009,2010,2011,2012,2014,2016,2017,2018,2019,2020,2021,2022,2023,2024","2013,2015"
987439,9,2009,2018,"2009,2011,2012,2013,2014,2015,2016,2017,2018",2010
987465,15,2008,2024,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2024","2022,2023"
987588,8,2008,2016,"2008,2009,2010,2012,2013,2014,2015,2016",2011
987601,7,2008,2015,"2008,2010,2011,2012,2013,2014,2015",2009
