n_anios,n_empresas,pct_empresas
1,637,5.450500556173526
2,628,5.373491914092582
3,480,4.107127577650381
4,478,4.090014546076837
5,479,4.098571061863609
6,419,3.5851801146573115
7,470,4.021562419782665
8,659,5.638743903482502
9,448,3.8333190724736887
10,325,2.7808676307007785
11,244,2.087789851972277
12,456,3.901771198767862
13,266,2.276033199281253
14,405,3.465388893642509
15,748,6.400273808505177
16,908,7.769316334388637
17,3637,31.120047916488407
