fuente,anio,archivo_zip,archivo_dta,variable,label_dta
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6OM, Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Producción- Obrero
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6OH, Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Producción- Obrero
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6DM, Aprendices y pasantes (Ley 789 de 2002) - Mujer  - Administrativo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6DH, Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Administrativo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6TM, Aprendices y pasantes (Ley 789 de 2002) - Mujer  -Total Personal Ocupado
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R6TH, Aprendices y pasantes (Ley 789 de 2002) - Hombre  - Total Personal Ocupado
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C9N,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R1C10N,Total Personal Ocupado  - Hombre -  Producción - Producción - Profesional Tecnól
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C9E,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R2C10E,Total Personal Ocupado  - Hombre -  Producción - Producción - Profesional Tecnól
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R5C1,Total Personal Ocupado  - Mujer -  Producción - Obrero
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R5C2,Total Personal Ocupado  - Hombre -  Producción - Obrero
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R5C3,Total Personal Ocupado  - Mujer -  Producción - Administrativo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R5C4,Total Personal Ocupado  - Hombre -  Producción - Administrativo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C9T,Total Personal Ocupado Mujer
EAM,2008,EAM_2008.zip,EAM_2008.dta,C4R4C10T,Total Personal Ocupado Hombre
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R1PT, Salario Integral para el personal permanente -  Producción - Profesional Tecnól
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R1C1, Salario Integral para el personal permanente -  Producción - Obreros
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R1C2, Salario Integral para el personal permanente -  Administrativos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R1C3,Total Salario Integral para el personal permanente
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R2PT,Sueldos y salarios del personal permanente -  Producción - Profesional Tecnólogo
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R2C1,Sueldos y salarios del personal permanente -  Producción - Obreros
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R2C2,Sueldos y salarios del personal permanente -  Administrativos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R2C3,Total Sueldos y salarios del personal permanente
