fuente,variable,label_dta,aparece_en_anios,descripcion_diccionario,descripcion_final
EAC,TOTMUJ,Personal total-Mujeres,16,NA,Personal total-Mujeres
EAC,TOTPERSO,Personal total,16,NA,Personal total
EAC,TOTREM,Total Remuneracion,16,NA,Total Remuneracion
EAC,V1,V1,5,NA,V1
EAC,VENTA,Ventas causadas en el año,16,NA,Ventas causadas en el año
EAC,VENTASNOP,Total de ingresos netos no operacionales,14,NA,Total de ingresos netos no operacionales
EAM,ACTIVFI,Activos Fijos,17,NA,Activos Fijos
EAM,BAGAAUTO,Autogeneración de Bagazo de caña,16,NA,Autogeneración de Bagazo de caña
EAM,BAGAC,Cantidad de Bagazo de caña,17,NA,Cantidad de Bagazo de caña
EAM,BAGACO,Cogeneración de Bagazo de caña,16,NA,Cogeneración de Bagazo de caña
EAM,BAGAV,Valor de Bagazo de caña,17,NA,Valor de Bagazo de caña
EAM,C2R5CERT,Ingresos por cert causados en el año.,17,NA,Ingresos por cert causados en el año.
EAM,C3R10C1,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Obreros,17,NA,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Obreros
EAM,C3R10C2,Costos y Gastos Causados pro el Personal Ocupado  - Administrativos,17,NA,Costos y Gastos Causados pro el Personal Ocupado  - Administrativos
EAM,C3R10C3,Total  Costos y Gastos Causados pro el Personal Ocupado,17,NA,Total  Costos y Gastos Causados pro el Personal Ocupado
EAM,C3R10PT,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Profesional Te,17,NA,Costos y Gastos Causados pro el Personal Ocupado  - Producción  - Profesional Te
EAM,C3R13C1,Muestras gratis - Producción,17,NA,Muestras gratis - Producción
EAM,C3R13C2,Muestras gratis - Administración y ventas,17,NA,Muestras gratis - Administración y ventas
EAM,C3R13C3,Total Muestras gratis,17,NA,Total Muestras gratis
EAM,C3R14C1,Costos y gastos de productos y servicios industriales elaborados por terceros -,17,NA,Costos y gastos de productos y servicios industriales elaborados por terceros -
EAM,C3R14C3,Total Costos y gastos de productos y servicios industriales elaborados por terce,17,NA,Total Costos y gastos de productos y servicios industriales elaborados por terce
EAM,C3R15C1,Honorarios y servicios técnicos - producción,17,NA,Honorarios y servicios técnicos - producción
EAM,C3R15C2,Honorarios y servicios técnicos - Administración y ventas,17,NA,Honorarios y servicios técnicos - Administración y ventas
EAM,C3R15C3,Total Honorarios y servicios técnicos,17,NA,Total Honorarios y servicios técnicos
EAM,C3R16C1,Arrendamiento de bienes inmuebles - Producción,17,NA,Arrendamiento de bienes inmuebles - Producción
EAM,C3R16C2,Arrendamiento de bienes inmuebles - Administración y ventas,17,NA,Arrendamiento de bienes inmuebles - Administración y ventas
EAM,C3R16C3,Total  Arrendamiento de bienes inmuebles,17,NA,Total  Arrendamiento de bienes inmuebles
EAM,C3R17C1,Arrendamiento sin opción  de compra de maquinaria y equipo - producción,17,NA,Arrendamiento sin opción  de compra de maquinaria y equipo - producción
EAM,C3R17C2,Arrendamiento sin opción  de compra de maquinaria y equipo - Administración y ve,17,NA,Arrendamiento sin opción  de compra de maquinaria y equipo - Administración y ve
EAM,C3R17C3,Total Arrendamiento sin opción  de compra de maquinaria y equipo,17,NA,Total Arrendamiento sin opción  de compra de maquinaria y equipo
EAM,C3R18C1,Seguros - Producción,17,NA,Seguros - Producción
EAM,C3R18C2,Seguros - Administración y ventas,17,NA,Seguros - Administración y ventas
EAM,C3R18C3,Total Seguros,17,NA,Total Seguros
EAM,C3R19C3,Valor Energía comprada,17,NA,Valor Energía comprada
EAM,C3R1C1, Salario Integral para el personal permanente -  Producción - Obreros,12,NA, Salario Integral para el personal permanente -  Producción - Obreros
EAM,C3R1C2, Salario Integral para el personal permanente -  Administrativos,12,NA, Salario Integral para el personal permanente -  Administrativos
EAM,C3R1C3,Total Salario Integral para el personal permanente,12,NA,Total Salario Integral para el personal permanente
EAM,C3R1PT, Salario Integral para el personal permanente -  Producción - Profesional Tecnól,12,NA, Salario Integral para el personal permanente -  Producción - Profesional Tecnól
EAM,C3R20C1,Impuesto de Renta para la Equidad - Producción,12,NA,Impuesto de Renta para la Equidad - Producción
EAM,C3R20C2,Impuesto de Renta para la Equidad - Administración y ventas,12,NA,Impuesto de Renta para la Equidad - Administración y ventas
EAM,C3R20C3,Total Impuesto de Renta para la Equidad,12,NA,Total Impuesto de Renta para la Equidad
EAM,C3R21C1,Servicio de agua  - Producción,17,NA,Servicio de agua  - Producción
EAM,C3R21C2,Servicio de agua - Administración y ventas,17,NA,Servicio de agua - Administración y ventas
EAM,C3R21C3,Total Servicio de agua,17,NA,Total Servicio de agua
EAM,C3R22C1,Propaganda y publicidad - producción,17,NA,Propaganda y publicidad - producción
EAM,C3R22C2,Propaganda y publicidad - Administración y ventas,17,NA,Propaganda y publicidad - Administración y ventas
EAM,C3R22C3,Total Propaganda y publicidad,17,NA,Total Propaganda y publicidad
EAM,C3R23C1,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Producción",17,NA,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Producción"
EAM,C3R23C2,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Administración",17,NA,"Mantenimiento, reparaciones, accesorios y repuestos consumidos - Administración"
EAM,C3R23C3,"Total Mantenimiento, reparaciones, accesorios y repuestos consumidos",17,NA,"Total Mantenimiento, reparaciones, accesorios y repuestos consumidos"
EAM,C3R24C1,"Utilización de : derechos de autor, franquicias, marcas, patentes, etc. - produc",17,NA,"Utilización de : derechos de autor, franquicias, marcas, patentes, etc. - produc"
EAM,C3R24C2,"Utilización de : derechos de autor, franquicias, marcas, patentes,etc. - Adminis",17,NA,"Utilización de : derechos de autor, franquicias, marcas, patentes,etc. - Adminis"
EAM,C3R24C3,"Total Utilización de : derechos de autor, franquicias, marcas, patentes,etc.",17,NA,"Total Utilización de : derechos de autor, franquicias, marcas, patentes,etc."
EAM,C3R25C2,Impuesto del 4 x 1 000,17,NA,Impuesto del 4 x 1 000
EAM,C3R25C3,Total Impuesto del 4 x 1 000,17,NA,Total Impuesto del 4 x 1 000
EAM,C3R26C2,"Gastos para provisión de cartera, inventarios y otros - Administración y ventas",17,NA,"Gastos para provisión de cartera, inventarios y otros - Administración y ventas"
EAM,C3R26C3,"Total Gastos para provisión de cartera, inventarios y otros",17,NA,"Total Gastos para provisión de cartera, inventarios y otros"
EAM,C3R27C1,Otros costos y gastos no incluidos antes - Producción,17,NA,Otros costos y gastos no incluidos antes - Producción
EAM,C3R27C2,Otros costos y gastos no incluidos antes -  Administración y ventas,17,NA,Otros costos y gastos no incluidos antes -  Administración y ventas
EAM,C3R27C3,Total Otros costos y gastos no incluidos antes,17,NA,Total Otros costos y gastos no incluidos antes
EAM,C3R2C1,Sueldos y salarios del personal permanente -  Producción - Obreros,17,NA,Sueldos y salarios del personal permanente -  Producción - Obreros
EAM,C3R2C2,Sueldos y salarios del personal permanente -  Administrativos,17,NA,Sueldos y salarios del personal permanente -  Administrativos
EAM,C3R2C3,Total Sueldos y salarios del personal permanente,17,NA,Total Sueldos y salarios del personal permanente
EAM,C3R2PT,Sueldos y salarios del personal permanente -  Producción - Profesional Tecnólogo,17,NA,Sueldos y salarios del personal permanente -  Producción - Profesional Tecnólogo
EAM,C3R31C2,Intereses causados sobre préstamos - Administración y ventas,17,NA,Intereses causados sobre préstamos - Administración y ventas
EAM,C3R31C3,Total Intereses causados sobre préstamos,17,NA,Total Intereses causados sobre préstamos
EAM,C3R35C1,Total Costos y gastos de producción,17,NA,Total Costos y gastos de producción
EAM,C3R35C2,Total Gastos de administración y ventas,17,NA,Total Gastos de administración y ventas
EAM,C3R35C3,Total costos de producción administración y ventas,17,NA,Total costos de producción administración y ventas
EAM,C3R36C1,Servicios de comunicaciones -Producción,17,NA,Servicios de comunicaciones -Producción
EAM,C3R36C2,Servicios de comunicaciones - Administración y ventas,17,NA,Servicios de comunicaciones - Administración y ventas
EAM,C3R36C3,Total Servicios de comunicaciones,17,NA,Total Servicios de comunicaciones
EAM,C3R37C1,Impuestos de industria y comercio - producción,17,NA,Impuestos de industria y comercio - producción
EAM,C3R37C2,Impuestos de industria y comercio - Administración y ventas,17,NA,Impuestos de industria y comercio - Administración y ventas
EAM,C3R37C3,Total Impuestos de industria y comercio,17,NA,Total Impuestos de industria y comercio
EAM,C3R38C2,Impuesto predial y sobre vehículos - Administración y ventas,17,NA,Impuesto predial y sobre vehículos - Administración y ventas
EAM,C3R38C3,Total Impuesto predial y sobre vehículos,17,NA,Total Impuesto predial y sobre vehículos
EAM,C3R3C1,Prestaciones sociales del personal permanente - Producción  - Obreros,17,NA,Prestaciones sociales del personal permanente - Producción  - Obreros
EAM,C3R3C2,Prestaciones sociales del personal permanente - Administrativos,17,NA,Prestaciones sociales del personal permanente - Administrativos
EAM,C3R3C3,Total  Prestaciones sociales del personal permanente,17,NA,Total  Prestaciones sociales del personal permanente
EAM,C3R3PT,Prestaciones sociales del personal permanente - Producción  - Profesional Tecnól,17,NA,Prestaciones sociales del personal permanente - Producción  - Profesional Tecnól
EAM,C3R40C2,"Costo de venta de materias primas, materiales y empaques vendidos sin transforma",17,NA,"Costo de venta de materias primas, materiales y empaques vendidos sin transforma"
EAM,C3R40C3,"Total Costo de venta de materias primas, materiales y empaques vendidos sin tran",17,NA,"Total Costo de venta de materias primas, materiales y empaques vendidos sin tran"
EAM,C3R41C1,Costos y gastos por servicios contratados con terceros (outsoursing)- Producción,17,NA,Costos y gastos por servicios contratados con terceros (outsoursing)- Producción
EAM,C3R41C2,Costos y gastos por servicios contratados con terceros (outsoursing)-  Administr,17,NA,Costos y gastos por servicios contratados con terceros (outsoursing)-  Administr
EAM,C3R41C3,Total Costos y gastos por servicios contratados con terceros (outsoursing),17,NA,Total Costos y gastos por servicios contratados con terceros (outsoursing)
EAM,C3R42C1,Costos y gastos de transporte de materias primas - Producción,17,NA,Costos y gastos de transporte de materias primas - Producción
EAM,C3R42C2,Costos y gastos de transporte de materias primas - Administración y ventas,17,NA,Costos y gastos de transporte de materias primas - Administración y ventas
EAM,C3R42C3,Total Costos y gastos de transporte de materias primas,17,NA,Total Costos y gastos de transporte de materias primas
EAM,C3R44C2,Costo de venta de productos no fabricados por el establecimiento - Administrativ,17,NA,Costo de venta de productos no fabricados por el establecimiento - Administrativ
EAM,C3R44C3,Total Costo de venta de productos no fabricados por el establecimiento,17,NA,Total Costo de venta de productos no fabricados por el establecimiento
EAM,C3R45C2,Costos y gastos de transporte de productos - Administración y ventas,17,NA,Costos y gastos de transporte de productos - Administración y ventas
EAM,C3R45C3,Total Costos y gastos de transporte de productos,17,NA,Total Costos y gastos de transporte de productos
EAM,C3R46C2,Gastos financieros - Administración y ventas,17,NA,Gastos financieros - Administración y ventas
EAM,C3R46C3,Total Gastos financieros,17,NA,Total Gastos financieros
EAM,C3R4C1,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",17,NA,"Sueldos, salarios y prestaciones sociales del personal contratado directamente"
EAM,C3R4C2,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",17,NA,"Sueldos, salarios y prestaciones sociales del personal contratado directamente"
EAM,C3R4C3,"Total  Sueldos, salarios y prestaciones sociales del personal contratado directa",17,NA,"Total  Sueldos, salarios y prestaciones sociales del personal contratado directa"
EAM,C3R4PT,"Sueldos, salarios y prestaciones sociales del personal contratado directamente",17,NA,"Sueldos, salarios y prestaciones sociales del personal contratado directamente"
EAM,C3R5C1,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",17,NA,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado"
EAM,C3R5C2,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",17,NA,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado"
EAM,C3R5C3,"Total  Cotizaciones patronales obligatorias, salud, ARP y pensión del personal o",17,NA,"Total  Cotizaciones patronales obligatorias, salud, ARP y pensión del personal o"
EAM,C3R5PT,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado",17,NA,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado"
EAM,C3R6C1,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción",17,NA,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción"
EAM,C3R6C2,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Administrat",17,NA,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Administrat"
EAM,C3R6C3,"Total  Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)",17,NA,"Total  Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)"
EAM,C3R6PT,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción",17,NA,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción"
EAM,C3R7C1,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,17,NA,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad
EAM,C3R7C2,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,17,NA,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad
EAM,C3R7C3,Total  Aportes voluntarios a compañías de seguros de vida que ampara al personal,17,NA,Total  Aportes voluntarios a compañías de seguros de vida que ampara al personal
EAM,C3R7PT,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad,17,NA,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad
EAM,C3R8C1,Valor causado por las empresas que suministran personal temporal al establecimie,17,NA,Valor causado por las empresas que suministran personal temporal al establecimie
EAM,C3R8C2,Valor causado por las empresas que suministran personal temporal al establecimie,17,NA,Valor causado por las empresas que suministran personal temporal al establecimie
EAM,C3R8C3,Total  Valor causado por las empresas que suministran personal temporal al estab,17,NA,Total  Valor causado por las empresas que suministran personal temporal al estab
EAM,C3R8PT,Valor causado por las empresas que suministran personal temporal al establecimie,17,NA,Valor causado por las empresas que suministran personal temporal al establecimie
EAM,C3R9C1,Otros gastos del personal no incluidos antes  - Producción  - Obreros,17,NA,Otros gastos del personal no incluidos antes  - Producción  - Obreros
EAM,C3R9C2,Otros gastos del personal no incluidos antes  - Administrativos,17,NA,Otros gastos del personal no incluidos antes  - Administrativos
EAM,C3R9C3,Total  Otros gastos del personal no incluidos antes,17,NA,Total  Otros gastos del personal no incluidos antes
EAM,C3R9PT,Otros gastos del personal no incluidos antes  - Producción  - Profesional Tecnól,17,NA,Otros gastos del personal no incluidos antes  - Producción  - Profesional Tecnól
EAM,C4R1C1," Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -",17,NA," Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -"
EAM,C4R1C10N,Total Personal Ocupado  - Hombre -  Producción - Producción - Profesional Tecnól,17,NA,Total Personal Ocupado  - Hombre -  Producción - Producción - Profesional Tecnól
EAM,C4R1C1N," Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -",17,NA," Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -"
EAM,C4R1C2," Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -",17,NA," Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -"
EAM,C4R1C2N," Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -",17,NA," Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -"
EAM,C4R1C3," Propietarios, socios y familiares (sin remuneración fija) Mujer - Administrativ",17,NA," Propietarios, socios y familiares (sin remuneración fija) Mujer - Administrativ"
EAM,C4R1C3N,Personal permanente (contrato a término indefinido) Mujer - Producción - Profesi,17,NA,Personal permanente (contrato a término indefinido) Mujer - Producción - Profesi
EAM,C4R1C4," Propietarios, socios y familiares (sin remuneración fija) Hombre - Administrati",17,NA," Propietarios, socios y familiares (sin remuneración fija) Hombre - Administrati"
EAM,C4R1C4N,Personal permanente (contrato a término indefinido) Hombre - Producción - Profes,17,NA,Personal permanente (contrato a término indefinido) Hombre - Producción - Profes
EAM,C4R1C5N, Temporal contratado directamente por el establecimiento - Mujer  - Producción-,17,NA, Temporal contratado directamente por el establecimiento - Mujer  - Producción-
EAM,C4R1C6N, Temporal contratado directamente por el establecimiento - Hombre  - Producción-,17,NA, Temporal contratado directamente por el establecimiento - Hombre  - Producción-
EAM,C4R1C7N, Temporal contratado  a través de empresas especializadas - Mujer  - Producción-,17,NA, Temporal contratado  a través de empresas especializadas - Mujer  - Producción-
EAM,C4R1C8N, Temporal contratado  a través de empresas especializadas - Hombre  - Producción,17,NA, Temporal contratado  a través de empresas especializadas - Hombre  - Producción
EAM,C4R1C9N,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo,17,NA,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo
EAM,C4R2C1,Personal permanente (contrato a término indefinido) Mujer - Producción - Obrero,17,NA,Personal permanente (contrato a término indefinido) Mujer - Producción - Obrero
EAM,C4R2C10E,Total Personal Ocupado  - Hombre -  Producción - Producción - Profesional Tecnól,17,NA,Total Personal Ocupado  - Hombre -  Producción - Producción - Profesional Tecnól
EAM,C4R2C1E," Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -",17,NA," Propietarios, socios y familiares (sin remuneración fija) Mujer - Producción -"
EAM,C4R2C2,Personal permanente (contrato a término indefinido) Hombre - Producción - Obrero,17,NA,Personal permanente (contrato a término indefinido) Hombre - Producción - Obrero
EAM,C4R2C2E," Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -",17,NA," Propietarios, socios y familiares (sin remuneración fija) Hombre - Producción -"
EAM,C4R2C3,Personal permanente (contrato a término indefinido) Mujer - Producción - Adminis,17,NA,Personal permanente (contrato a término indefinido) Mujer - Producción - Adminis
EAM,C4R2C3E,Personal permanente (contrato a término indefinido) Mujer - Producción - Profesi,17,NA,Personal permanente (contrato a término indefinido) Mujer - Producción - Profesi
EAM,C4R2C4,Personal permanente (contrato a término indefinido) Hombre - Producción - Admini,17,NA,Personal permanente (contrato a término indefinido) Hombre - Producción - Admini
EAM,C4R2C4E,Personal permanente (contrato a término indefinido) Hombre - Producción - Profes,17,NA,Personal permanente (contrato a término indefinido) Hombre - Producción - Profes
EAM,C4R2C5E, Temporal contratado directamente por el establecimiento - Mujer  - Producción-,17,NA, Temporal contratado directamente por el establecimiento - Mujer  - Producción-
EAM,C4R2C6E, Temporal contratado directamente por el establecimiento - Hombre  - Producción-,17,NA, Temporal contratado directamente por el establecimiento - Hombre  - Producción-
EAM,C4R2C7E, Temporal contratado  a través de empresas especializadas - Mujer  - Producción-,17,NA, Temporal contratado  a través de empresas especializadas - Mujer  - Producción-
EAM,C4R2C8E, Temporal contratado  a través de empresas especializadas - Hombre  - Producción,17,NA, Temporal contratado  a través de empresas especializadas - Hombre  - Producción
