variable_nueva,codigo_eam,descripcion,base,pct_na_2022,pct_cero_2022
impuesto_4x1000_c3r25c3,C3R25C3,Total Impuesto del 4 x 1 000,establecimiento,0,9.98
industria_comercio_c3r37c3,C3R37C3,Total Impuestos de industria y comercio,establecimiento,0,2.8
ingresos_cert_c2r5cert,C2R5CERT,Ingresos por cert causados en el año.,establecimiento,0.21,88.73
intereses_c3r31c3,C3R31C3,Total Intereses causados sobre préstamos,establecimiento,0,28.46
inventario_total_fin_c6r5c3,C6R5C3,Total Inventarios al final del año actual,establecimiento,0.03,14.81
inventario_total_inicio_c6r5c1,C6R5C1,Total Inventarios al final del año anterior-,establecimiento,0.03,11.37
inversion_bruta_invebrta,INVEBRTA,Inversión Bruta,establecimiento,0,31
inversion_edificios_c7r5c2,C7R5C2,Total inversiones en activos fijos - Edificios y estructuras,establecimiento,0,70.8
inversion_informatica_c7c4r8,C7C4R8,Total inversiones en activos fijos -Equipo de informática y comunicación,establecimiento,0,48.89
inversion_maquinaria_c7r6c2,C7R6C2,Total inversiones en activos fijos - Maquinaria y equipo Industrial,establecimiento,0,41.39
inversion_oficina_c7c5r8,C7C5R8,Total inversiones en activos fijos -Equipos de oficina,establecimiento,0,59.19
inversion_terrenos_c7r1c2,C7R1C2,Total inversiones en activos fijos - Terrenos,establecimiento,0,93.43
inversion_total_c7r10c2,C7R10C2,Total  inversiones en activos fijos,establecimiento,0,32.03
inversion_transporte_c7r8c2,C7R8C2,Total inversiones en activos fijos -Equipo de transporte,establecimiento,0,74.83
leasing_edificios_c7c2r19,C7C2R19,Leasing Financiero - Edificios y estructuras,establecimiento,0,98.15
leasing_informatica_c7c4r19,C7C4R19,Leasing Financiero -Equipo de informática y comunicación,establecimiento,0,99.37
leasing_maquinaria_c7c3r19,C7C3R19,Leasing Financiero - Maquinaria y equipo Industrial,establecimiento,0,95.81
leasing_oficina_c7c5r19,C7C5R19,Leasing Financiero -Equipos de oficina,establecimiento,0,99.72
leasing_terrenos_c7c1r19,C7C1R19,Leasing Financiero - Terrenos,establecimiento,0,99.04
leasing_total_c7c7r19,C7C7R19,Total Leasing Financiero,establecimiento,0,93
