tamano,variable,efecto_A_pct,sig_A,efecto_B_pct,sig_B,p_previos,observaciones
Pequena,Costo laboral por trabajador,4.921164263744352,***,5.5515811674813325,***,1.2405982733334242e-30,23222
Pequena,Empleo total,-2.4158175296864948,***,-1.7620688077443623,**,0.06484848755359293,23222
Mediana,Costo laboral por trabajador,3.0181420069712828,***,3.611308296260498,***,2.099550690864834e-4,13946
Mediana,Empleo total,1.4167952702271749,**,1.793074076951164,***,0.5917691167991523,13947
Grande,Costo laboral por trabajador,1.9659576668824217,,2.220179840464093,,0.0021796605131348622,6662
Grande,Empleo total,0.18780635939683538,,-0.06525463861639562,,0.8776540394284291,6662
