tamano,canal,mecanismo,efecto_B_en_DE,ic_B_inf,ic_B_sup,p_B_ajustado,sig_B,p_previos,observaciones
Pequena,Compresión salarial,Brecha salarial obrero/admin,0.21848279260246448,0.16943794828014896,0.26752763692478,4.279162012356412e-17,***,5.969847871485262e-26,20252
Pequena,Tercerización,Pago a agencias / producción,-0.1354513341887901,-0.4597984083603436,0.1888957399827634,0.5851686767816681,,0.6177379365014015,23235
Pequena,Tercerización,Outsourcing / producción,0.13235248596659235,-0.08063787826274746,0.34534285019593214,0.34501391380152746,,0.6417865672304082,23235
Pequena,Temporalidad,Participación de permanentes,-0.06515364905442995,-0.09226382451892058,-0.03804347358993933,1.4006258393272166e-5,***,1.743698921267941e-8,23222
Pequena,Temporalidad,Participación de temporales,0.06483375370872282,0.03795372222266847,0.09171378519477719,1.4006258393272166e-5,***,2.6462337441460123e-8,23222
Pequena,Temporalidad,Usa agencias (sí/no),0.052879545894558996,0.026910331231074405,0.07884876055804359,2.2367582992897862e-4,***,4.5526814768416377e-4,23235
Pequena,Temporalidad,Participación de agencias,0.05172289696303352,0.02937473967395489,0.07407105425211215,2.4336645182612134e-5,***,0.0013424232403660852,23222
Pequena,Empleo,Empleo permanente,-0.03161435792546997,-0.047317354213823604,-0.015911361637116334,2.251511645605045e-4,***,0.009753554173283887,22469
Pequena,Productividad,Productividad (VA/trabajador),0.022541658337016487,-0.008288929598821122,0.0533722462728541,0.2581359822181597,,1.1665979884022293e-4,23222
Pequena,Escala,Ventas,0.016637384312153537,0.002843754364134709,0.030431014260172366,0.04389596222471477,**,2.4194063098964454e-5,23230
Pequena,Escala,Producción bruta,0.015797394888740518,0.0020881163589434905,0.029506673418537546,0.050813607749580894,*,1.2894661332714625e-5,23235
Pequena,Tercerización,Hace outsourcing (sí/no),0.014467469126163928,-0.023546882492682303,0.05248182074501016,0.5959240360565238,,0.18903381701324756,23235
Pequena,Empleo,Empleo total,-0.01328762379525418,-0.026476691920932965,-9.85556695753953e-5,0.09124904430691853,*,0.06484871842803812,23222
Pequena,Tercerización,Honorarios / producción,0.010555667341026692,-0.18899602876129076,0.21010736344334416,0.9460577489586937,,0.7546743195432931,23235
Pequena,Empleo,Empleo temporal,-0.009236918052621829,-0.05008784474364068,0.03161400863839703,0.7744986887614755,,0.04319140940732397,7079
Pequena,Escala,Valor agregado,0.00380920268250679,-0.014496478970796476,0.022114884335810055,0.7744986887614755,,0.005811852766082048,23235
Pequena,Capital,Inversión bruta,-0.002123351741394296,-0.06363505757938875,0.059388354096600156,0.9460577489586937,,0.6295504307857742,11870
Mediana,Compresión salarial,Brecha salarial obrero/admin,0.21155558968405092,0.15385185207846613,0.2692593272896357,1.1356442511823543e-11,***,3.8768279423213797e-13,13203
Mediana,Tercerización,Hace outsourcing (sí/no),0.11454311876362348,0.05552124522555735,0.17356499230168962,0.0012114320712781517,***,0.3687874070513075,13947
Mediana,Temporalidad,Participación de permanentes,-0.053624777740972136,-0.08393500810219384,-0.023314547379750427,0.0029754314032619977,***,1.3116957023404482e-5,13947
Mediana,Empleo,Empleo temporal,0.05355053367181055,0.01742584811602422,0.08967521922759689,0.01039002247877641,**,0.1609879961465373,9623
Mediana,Temporalidad,Participación de temporales,0.051989922522134295,0.02161955822545522,0.08236028681881337,0.0033699314143971855,***,1.1041111238419551e-5,13947
Mediana,Temporalidad,Usa agencias (sí/no),0.045798305604097145,0.003962198121210139,0.08763441308698415,0.060260759234159245,*,0.011958910399969946,13947
Mediana,Temporalidad,Participación de agencias,0.03470022610477917,0.0018618597826310368,0.06753859242692731,0.06518970217528189,*,0.23619495827892467,13947
Mediana,Capital,Inversión bruta,0.03161558019019111,-0.02050987307561323,0.08374103345599546,0.3322365262335224,,0.24500856045061972,12017
Mediana,Tercerización,Outsourcing / producción,0.02373240372800499,-0.024178842179548105,0.07164364963555808,0.4026739615265193,,0.08001965830326031,13947
Mediana,Escala,Ventas,0.021547383455987744,0.007647972933830748,0.035446793978144736,0.00808475022212408,***,3.189324553122713e-5,13946
Mediana,Escala,Producción bruta,0.02021002790803446,0.005854970245361241,0.03456508557070768,0.014062350784686324,**,2.1768026808273437e-6,13947
Mediana,Tercerización,Pago a agencias / producción,0.01668039423764386,-0.015887281592406887,0.049248070067694605,0.4026739615265193,,0.13592115212938394,13947
Mediana,Escala,Valor agregado,0.016276759821860443,-0.001292936386021619,0.033846456029742504,0.10726434768283627,,1.4509790525542692e-4,13947
Mediana,Productividad,Productividad (VA/trabajador),0.013541915903543178,-0.01581915305305457,0.04290298486014092,0.4147999290550257,,3.2627526213283546e-4,13947
Mediana,Empleo,Empleo total,0.013521435149870904,0.003716130903187103,0.023326739396554705,0.014610036787251734,**,0.5917691167992118,13947
Mediana,Empleo,Empleo permanente,0.0030324122893667,-0.025600860470536627,0.031665685049270025,0.8355614673381715,,0.019909547286242453,13781
Mediana,Tercerización,Honorarios / producción,0.001396208176385135,-0.007512972114192232,0.010305388466962502,0.8061394921640256,,0.36905190174582814,13947
Grande,Compresión salarial,Brecha salarial obrero/admin,0.17871882891903013,0.10709252169705415,0.2503451361410061,1.7098082165007858e-5,***,1.5647133851264878e-7,6483
Grande,Productividad,Productividad (VA/trabajador),0.04973339298026125,0.0065500828428745675,0.09291670311764794,0.06797074935864027,*,0.06053318804679953,6662
Grande,Empleo,Empleo temporal,0.04750405115693086,5.704140724441531e-4,0.09443768824141757,0.10174978646462683,,0.5887137363817299,6300
Grande,Temporalidad,Participación de agencias,0.04051770286853643,-0.0023076311521967457,0.08334303688926961,0.12029193148984901,,0.7022524907401023,6662
Grande,Temporalidad,Participación de permanentes,-0.03879581154246326,-0.07038518817844719,-0.007206434906479334,0.06797074935864027,*,0.5351644206474971,6662
Grande,Temporalidad,Participación de temporales,0.037806009665692517,0.005891659441205385,0.06972035989017965,0.06797074935864027,*,0.668163723114686,6662
Grande,Temporalidad,Usa agencias (sí/no),0.03375056690024241,-0.014432222985876202,0.08193335678636102,0.24051776946111134,,0.039676992005658315,6662
Grande,Escala,Producción bruta,0.03130845148544385,0.009011500406345421,0.053605402564542284,0.050324510365717626,*,0.04288509933668656,6662
Grande,Capital,Inversión bruta,-0.028859059918248664,-0.09058232412873354,0.032864204292236215,0.4364779075788534,,0.21878489602780601,6300
Grande,Tercerización,Pago a agencias / producción,0.02848479699837512,-0.01687028707955804,0.07383988107630828,0.2855196883932639,,0.5873786090447104,6662
Grande,Escala,Valor agregado,0.02692859616450775,2.506090956628723e-4,0.05360658323335263,0.10174978646462683,,0.03854405831081041,6662
Grande,Escala,Ventas,0.0249560128216866,0.004166434587856368,0.04574559105551683,0.06797074935864027,*,0.13022700618983646,6662
Grande,Empleo,Empleo permanente,-0.02281816519070343,-0.0506933957410526,0.005057065359645743,0.1846562049222339,,0.35932985763048964,6641
Grande,Tercerización,Hace outsourcing (sí/no),0.015744357030318422,-0.06907966379601058,0.1005683778566474,0.7607581876023713,,0.01343194683292878,6662
Grande,Tercerización,Honorarios / producción,-0.011865032066329575,-0.02803990675198164,0.00430984261932249,0.23259764028524768,,0.8545153140469458,6662
Grande,Tercerización,Outsourcing / producción,0.002560754150556117,-0.006591321541210418,0.011712829842322654,0.6611994606336167,,0.417720411584133,6662
Grande,Empleo,Empleo total,-4.920793910610558e-4,-0.019131931882767354,0.018147773100645245,0.9587337425652086,,0.8776537921640566,6662
