muestra,outcome,medida,version,beta,ee,p,n_obs,n_firmas
completa,empleo_total,exposure_de,sin_tendencia,1.7244394969916754,1.0025674300916618,0.08547825823346404,54014,6179
completa,empleo_total,exposure_de,tendencia_conjunta,-0.8270001332168793,0.8492641343742231,0.33020174454204776,54014,6179
completa,empleo_total,exposure_de,tendencia_solo_pre,-0.9339640895576139,1.0026719236954638,0.3516441746732377,54014,6179
completa,empleo_total,bite_de,sin_tendencia,-1.7279307994131738,1.3428505781515052,0.1982352500277126,44630,5098
completa,empleo_total,bite_de,tendencia_conjunta,-1.3620849224225773,1.3017622380027438,0.295454046847826,44630,5098
completa,empleo_total,bite_de,tendencia_solo_pre,-1.3004263944887395,1.3428545445124433,0.3328883372891859,44630,5098
completa,empleo_permanente,exposure_de,sin_tendencia,1.1508734919574586,0.7041170109508075,0.10220657231167729,54014,6179
completa,empleo_permanente,exposure_de,tendencia_conjunta,0.38443849275189934,0.5837840757217925,0.510223084574972,54014,6179
completa,empleo_permanente,exposure_de,tendencia_solo_pre,0.30045820414813446,0.7041449963310563,0.6696132003900803,54014,6179
completa,empleo_permanente,bite_de,sin_tendencia,1.381584614736775,1.0391257172153094,0.18372131715082674,44630,5098
completa,empleo_permanente,bite_de,tendencia_conjunta,-2.2756354371437446,0.8793912523121528,0.009688213258291134,44630,5098
completa,empleo_permanente,bite_de,tendencia_solo_pre,-2.359352696908132,1.039193427095286,0.023226754277200584,44630,5098
completa,empleo_temporal,exposure_de,sin_tendencia,0.5467601528257282,0.5809805034106496,0.3466909393665243,54014,6179
completa,empleo_temporal,exposure_de,tendencia_conjunta,-1.270983057555364,0.5417118899984562,0.018995612128419322,54014,6179
completa,empleo_temporal,exposure_de,tendencia_solo_pre,-1.294816647193263,0.5810286565022584,0.025883691550942257,54014,6179
completa,empleo_temporal,bite_de,sin_tendencia,-3.0787758781119128,0.798077740615178,1.1585325732794169e-4,44630,5098
completa,empleo_temporal,bite_de,tendencia_conjunta,0.8657463491780684,0.8123315855422272,0.2865849440415137,44630,5098
completa,empleo_temporal,bite_de,tendencia_solo_pre,1.0107400613794986,0.7982288322522464,0.20548916891141356,44630,5098
completa,participacion_permanente,exposure_de,sin_tendencia,-0.4624073014406882,0.2874856541698884,0.10778699301634172,53991,6179
completa,participacion_permanente,exposure_de,tendencia_conjunta,0.7013349088623756,0.2644293654545803,0.008015974139147996,53991,6179
