resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,firmas,lectura
Empleo permanente (trabajadores),1.381584614736775,1.0391257172153094,0.18372131715082674,,-0.6551017910052317,3.4182710204787816,44630,5098,Exploratorio
Empleo temporal (trabajadores),-3.0787758781119128,0.798077740615178,1.1585325732794169e-4,***,-4.643008249717662,-1.5145435065061639,44630,5098,Exploratorio
Participación de permanentes (puntos %),1.4915864250813278,0.349737297723078,2.036325566604365e-5,***,0.806101321544095,2.1770715286185607,44615,5098,Exploratorio
Ventas (log),-0.031148055938326175,0.010516900953300438,0.0030734353782408213,***,-0.05176118180679504,-0.010534930069857316,44624,5098,Exploratorio
