tamano,resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,firmas
Pequena,Salario promedio (log),-0.019318213878409256,0.00597116236467993,0.001230329452621276,***,-0.03102169211318192,-0.007614735643636593,22997,2647
Pequena,Empleo total (log),-0.019696009205305554,0.011257076073977763,0.08029363345681942,*,-0.041759878310301965,0.00236785989969086,22997,2647
Mediana,Salario promedio (log),4.12606866335709e-4,0.006966900344291873,0.9527810764033373,,-0.013242517808476361,0.01406773154114778,14296,1625
Mediana,Empleo total (log),0.013341175171471507,0.012460898928000468,0.28448903693972794,,-0.011082186727409408,0.03776453707035242,14297,1625
Grande,Salario promedio (log),0.010233274941797984,0.008737350398841834,0.24185909063835306,,-0.00689193183993201,0.027358481723527978,7151,810
Grande,Empleo total (log),0.005366119856712018,0.021533851579336197,0.8032734974062092,,-0.03684022923878693,0.04757246895221096,7151,810
