resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,firmas,efecto_porcentual,lectura
Salario obrero (log),-0.016025174428566002,0.00489090940074757,0.0010579864206438558,***,-0.02561135685403124,-0.006438992003100764,42238,5088,-1.6025174428566002,Exploratorio
Salario administrativo (log),-0.036962922015703614,0.006476739728256968,1.2156557581982577e-8,***,-0.04965733188308727,-0.024268512148319956,42072,5020,-3.6962922015703614,Exploratorio
Salario profesional (log),-0.02314476179184072,0.008903432647359157,0.0093699604331807,***,-0.04059548978066467,-0.005694033803016776,27761,3936,-2.314476179184072,Exploratorio
Brecha administrativo - obrero (log),-0.013045904086156825,0.006443828454782666,0.04296593540200109,**,-0.02567580785753085,-4.160003147828002e-4,39898,4991,-1.3045904086156825,Exploratorio
Brecha profesional - obrero (log),-0.004784616929353871,0.009319661416031765,0.6077081115222416,,-0.02305115330477613,0.013481919446068389,26477,3876,-0.4784616929353871,Exploratorio
