anio,coeficiente,error_estandar,p_valor,efecto_pct,significancia
2015,0.07537427621135821,0.006122468967639223,2.487119841201271e-34,7.537427621135821,***
2016,0.0745589380229158,0.006194271925006126,6.508798364046767e-33,7.45589380229158,***
2017,0.07108346611559643,0.0057447657903344695,1.1707582869585454e-34,7.108346611559643,***
2018,0.06042473686028668,0.005460098835538,3.873834647104629e-28,6.042473686028668,***
2019,0.05055875095285864,0.005324830035820531,3.330874870082866e-21,5.055875095285864,***
2021,0.02670253812941404,0.005164315743152464,2.4251326902347374e-7,2.670253812941404,***
2022,0,0,NA,0,
2023,0.03098008854138517,0.005102553433975004,1.3614736771312114e-9,3.098008854138517,***
2024,0.0461938842297094,0.004854421307066799,2.733798990623863e-21,4.61938842297094,***
