especificacion,coeficiente,error_estandar,p_valor,efecto_pct,observaciones,firmas,significancia
"Panel, muestra común",-0.01535460263909796,0.0040517383533620315,1.5285154712316596e-4,-1.535460263909796,39463,4481,***
"Corte, muestra común",0.021225372241484946,0.005212146910725197,4.7382171336459365e-5,2.1225372241484948,4481,4481,***
