percentil,Exposure2022_obreros,Exposure2022_original
p1,0,8.914429185522794e-6
p10,0.29161392405063297,1.8321340535596103e-5
p25,0.4716981132075472,2.4708457160135656e-5
p50,0.631578947368421,3.246432244745575e-5
p75,0.7692307692307693,4.1603634793591635e-5
p90,0.8696005655708732,4.9924277121541425e-5
p99,1,7.32845314346961e-5
