sector_2022,firmas,porcentaje_alta_exposicion
1410,395,68.60759493670886
3290,347,51.5850144092219
2229,290,53.44827586206896
1081,280,73.57142857142858
1811,246,45.1219512195122
3110,193,64.76683937823834
1089,192,57.8125
2599,186,50.53763440860215
2023,130,60
2100,123,41.46341463414634
