exposicion,firmas,kaitz_promedio,empleo_promedio,empleo_mediana,salario_promedio_anual_miles,participacion_permanentes
Baja exposición,2550,0.6481176960441626,188.7313725490196,80,43953.72748918713,69.53332659671092
Alta exposición,2549,1.0538618519067493,65.60298156139663,29,29598.847400147693,82.89497203054964
