exposicion,"salario_promedio_Antes (2015-2022, con 2020)",salario_promedio_Después (2023-2024),"empleo_promedio_Antes (2015-2022, con 2020)",empleo_promedio_Después (2023-2024),cambio_salario_pct,cambio_empleo_pct
Baja exposición,35261.81038527743,51351.802020341114,176.0217369528198,193.07991098523163,45.630078147608685,9.690947452122955
Alta exposición,25044.765724630004,34387.36621732143,64.01840244697388,66.97094229970942,37.30360505430301,4.61201738856436
