resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,firmas,efecto_porcentual,lectura
Salario obrero (log),-0.016931242578804077,0.004871954611318847,5.146444631289118e-4,***,-0.026480273616989014,-0.007382211540619138,47034,5089,-1.6931242578804078,Exploratorio
Salario administrativo (log),-0.03134068756935544,0.006308719338163243,6.995034763725816e-7,***,-0.04370577747215539,-0.01897559766655548,46835,5022,-3.1340687569355437,Exploratorio
Salario profesional (log),-0.01923854494461671,0.00895629323684508,0.03177042459570563,**,-0.03679287968883307,-0.0016842102004003545,30943,3963,-1.9238544944616711,Exploratorio
Brecha administrativo - obrero (log),-0.0073319266788688395,0.006329165545642785,0.24674196968937143,,-0.0197370911483287,0.005073237790591018,44431,4995,-0.733192667886884,Exploratorio
Brecha profesional - obrero (log),-6.244998636017242e-5,0.009366178034289414,0.9946804004262687,,-0.018420158933567424,0.018295258960847077,29520,3901,-0.006244998636017242,Exploratorio
