tamano,resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,firmas
Pequena,Salario promedio (log),-0.01867432363648628,0.0059239943151106296,0.0016379177422494078,***,-0.030285352494103114,-0.007063294778869446,25606,2647
Pequena,Empleo total (log),-0.018140566183699136,0.011003841134834692,0.09935514897986131,*,-0.03970809480797513,0.003426962440576862,25609,2647
Mediana,Salario promedio (log),0.0016278248814961972,0.006942364995158224,0.8146442481526417,,-0.011979210509013922,0.015234860272006316,15899,1625
Mediana,Empleo total (log),0.012372028636191957,0.012323308244379388,0.31555058139184905,,-0.011781655522791642,0.03652571279517555,15902,1625
Grande,Salario promedio (log),0.012544199432575042,0.008477948352914499,0.13936215931569165,,-0.004072579339137376,0.02916097820428746,7955,810
Grande,Empleo total (log),0.004848611934027144,0.021249750188183918,0.8195696766121766,,-0.03680089843481334,0.04649812230286762,7955,810
