resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,firmas,lectura
Empleo permanente (trabajadores),1.2399001364441833,1.0027522961254123,0.21633087899150424,,-0.7254943639616247,3.2052946368499913,49669,5098,Exploratorio
Empleo temporal (trabajadores),-2.928352749708651,0.7740899213637185,1.5674945210364643e-4,***,-4.445568995581539,-1.4111365038357628,49669,5098,Exploratorio
Participación de permanentes (puntos %),1.3712604203705268,0.34460463002765346,7.009948707305156e-5,***,0.695835345516326,2.0466854952247275,49653,5098,Exploratorio
Ventas (log),-0.02990495687773918,0.01034964918112383,0.003875249985343219,***,-0.05019026927274189,-0.009619644482736472,49662,5098,Exploratorio
