version,resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior
0. Principal,Salario (log): cambio 2022 -> 2023,0.040371852636299,0.0056888195027944,1.277698139370315e-12,***,0.029221766410821977,0.05152193886177602
0. Principal,Empleo (trabajadores),-1.7279307994131738,1.3428505781515052,0.1982352500277126,,-4.359917932590124,0.9040563337637761
0. Principal,Empleo (log),-0.009636807891302297,0.007510513228110143,0.19951219312938648,,-0.024357413818398177,0.005083798035793582
V7. Sin salarios extremos,Salario (log): cambio 2022 -> 2023,0.041956850998462754,0.004021533453478333,1.7517733564699616e-25,***,0.03407464542964522,0.049839056567280285
V7. Sin salarios extremos,Empleo (trabajadores),-1.9057538355205568,1.3656504790412045,0.1629286144426315,,-4.5824287744413175,0.7709211034002041
V7. Sin salarios extremos,Empleo (log),-0.012438347327235408,0.0075291849239163,0.09859271748141284,*,-0.027195549778111353,0.0023188551236405387
V8. 1. Solo firma y año,Salario (log): cambio 2022 -> 2023,0.02963628812510644,0.004431978918740999,2.279165084620087e-11,***,0.02094960944437408,0.0383229668058388
V8. 1. Solo firma y año,Empleo (trabajadores),-8.42637232478941,1.5056973799947695,2.3038415593913136e-8,***,-11.377539189579158,-5.475205459999662
V8. 1. Solo firma y año,Empleo (log),-0.04771698176605931,0.006837458307319679,3.3587170095110466e-12,***,-0.06111840004840588,-0.034315563483712744
"V8. 2. Firma, año y sector x año",Salario (log): cambio 2022 -> 2023,0.03219046052459405,0.004789399934311829,1.802480321776442e-11,***,0.02280323665334287,0.041577684395845235
"V8. 2. Firma, año y sector x año",Empleo (trabajadores),-7.942824895960601,1.4843831354563566,9.133376896943999e-8,***,-10.85221584145506,-5.033433950466142
"V8. 2. Firma, año y sector x año",Empleo (log),-0.0456925198691119,0.00706971191292963,1.1211783592613793e-10,***,-0.05954915521845398,-0.031835884519769826
V9. Panel balanceado,Salario (log): cambio 2022 -> 2023,0.033160593469784526,0.005543525226921853,2.2060344374448424e-9,***,0.022295284025017695,0.04402590291455136
V9. Panel balanceado,Empleo (trabajadores),-1.7211141405976902,1.3888582686776418,0.2153255647989048,,-4.4432763472058685,1.001048066010488
V9. Panel balanceado,Empleo (log),-0.00854603651557806,0.007622218861636381,0.2622626912509634,,-0.02348558548438537,0.006393512453229248
V10. Errores agrupados por sector,Salario (log): cambio 2022 -> 2023,0.040371852636299,0.008842320444885435,4.977041108272663e-6,***,0.023040904564323547,0.05770280070827445
V10. Errores agrupados por sector,Empleo (trabajadores),-1.7279307994131738,1.5960715745189635,0.2813047210272792,,-4.856231085470342,1.4003694866439946
V10. Errores agrupados por sector,Empleo (log),-0.009636807891302297,0.007311141911156475,0.19016002074042576,,-0.023966646037168988,0.004693030254564395
