medida_exposicion,salto_salarial_2023,p_salto,pasa_primer_eslabon,M_de_quiebre_salario,p_años_previos_empleo_log,elegida
Kaitz 2022,0.04429783206451259,1.6181045585966484e-13,TRUE,0.7212729582539984,0.23182575032822267,FALSE
Kaitz 2019,0.022119867936476714,6.370152902477954e-7,TRUE,0.05438666823710289,4.1997769696715026e-4,FALSE
Kaitz promedio,0.04023078734372328,1.0641608595831775e-15,TRUE,0.7562499777970269,0.0011758556508065486,TRUE
