medida,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,M,ic_ampliado_inferior,ic_ampliado_superior,incluye_cero,movimiento_maximo_previo,M_de_quiebre
Salario (log): cambio 2022 -> 2023,0.040371852636299,0.0056888195027944,1.277698139370315e-12,***,0.029221766410821977,0.05152193886177602,0,0.029221766410821977,0.05152193886177602,FALSE,0.03833287299530149,0.7623161043630549
Salario (log): cambio 2022 -> 2023,0.040371852636299,0.0056888195027944,1.277698139370315e-12,***,0.029221766410821977,0.05152193886177602,0.5,0.010055329913171231,0.07068837535942676,FALSE,0.03833287299530149,0.7623161043630549
Salario (log): cambio 2022 -> 2023,0.040371852636299,0.0056888195027944,1.277698139370315e-12,***,0.029221766410821977,0.05152193886177602,1,-0.009111106584479514,0.08985481185707751,TRUE,0.03833287299530149,0.7623161043630549
Salario (log): cambio 2022 -> 2023,0.040371852636299,0.0056888195027944,1.277698139370315e-12,***,0.029221766410821977,0.05152193886177602,2,-0.047443979579781005,0.128187684852379,TRUE,0.03833287299530149,0.7623161043630549
Empleo (trabajadores): promedio 2023-24 frente a 2022,-0.9221509685366848,1.3871303011608545,0.5061845356820929,,-3.6409263588119596,1.7966244217385898,0,-3.6409263588119596,1.7966244217385898,TRUE,1.0561001298043362,0
Empleo (trabajadores): promedio 2023-24 frente a 2022,-0.9221509685366848,1.3871303011608545,0.5061845356820929,,-3.6409263588119596,1.7966244217385898,0.5,-4.433001456165211,2.588699519091842,TRUE,1.0561001298043362,0
Empleo (trabajadores): promedio 2023-24 frente a 2022,-0.9221509685366848,1.3871303011608545,0.5061845356820929,,-3.6409263588119596,1.7966244217385898,1,-5.2250765535184645,3.3807746164450942,TRUE,1.0561001298043362,0
Empleo (trabajadores): promedio 2023-24 frente a 2022,-0.9221509685366848,1.3871303011608545,0.5061845356820929,,-3.6409263588119596,1.7966244217385898,2,-6.809226748224969,4.964924811151599,TRUE,1.0561001298043362,0
Empleo (log): promedio 2023-24 frente a 2022,-0.01913264075370931,0.0060897582393619875,0.001679279168048681,***,-0.031068566902858807,-0.0071967146045598136,0,-0.031068566902858807,-0.0071967146045598136,FALSE,0.009818329443849604,0.48865845903945015
Empleo (log): promedio 2023-24 frente a 2022,-0.01913264075370931,0.0060897582393619875,0.001679279168048681,***,-0.031068566902858807,-0.0071967146045598136,0.5,-0.03843231398574601,1.670324783273891e-4,TRUE,0.009818329443849604,0.48865845903945015
Empleo (log): promedio 2023-24 frente a 2022,-0.01913264075370931,0.0060897582393619875,0.001679279168048681,***,-0.031068566902858807,-0.0071967146045598136,1,-0.04579606106863321,0.007530779561214592,TRUE,0.009818329443849604,0.48865845903945015
Empleo (log): promedio 2023-24 frente a 2022,-0.01913264075370931,0.0060897582393619875,0.001679279168048681,***,-0.031068566902858807,-0.0071967146045598136,2,-0.06052355523440762,0.022258273726989,TRUE,0.009818329443849604,0.48865845903945015
