periodo_despues,resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,firmas
Solo 2023,Salario (log),-0.01740056953276475,0.004861301185834794,3.4758135718043987e-4,***,-0.026928719857000946,-0.007872419208528554,39839,5098
Solo 2023,Empleo (trabajadores),-1.946475037239209,1.3273149629753778,0.14258044856881605,,-4.548012364670949,0.6550622901925314,39849,5098
Solo 2023,Empleo (log),-0.008566083780591972,0.007956338776952312,0.28169369992975807,,-0.0241605077834185,0.00702834022223456,39840,5098
Solo 2024,Salario (log),-0.0018069906487637344,0.0043438613394243845,0.6774368977825864,,-0.010320958874035528,0.0067069775765080586,39634,5097
Solo 2024,Empleo (trabajadores),-1.513644572030417,1.6115038319372754,0.34763430703728004,,-4.672192082627477,1.6449029385666427,39649,5097
Solo 2024,Empleo (log),-0.01061066646048212,0.00858657203213067,0.21661669043698206,,-0.027440347643458235,0.006219014722493992,39635,5097
Salario (log),Cambio 2023 -> 2024,0.015094551789881942,0.004665095000076105,0.0012137182647311122,***,0.005950965589732777,0.024238137990031106,NA,NA
Empleo (log),Cambio 2023 -> 2024,-0.0032195628750775196,0.006913805122636433,0.6414505649644758,,-0.016770620915444928,0.010331495165289889,NA,NA
