prueba,resultado,coeficiente,error_estandar,p_valor,significancia,ic95_inferior,ic95_superior,observaciones,firmas
Placebo: choque ficticio en 2018 (datos 2015-2019),Salario (log),-0.01886500941164552,0.0038342187212825184,8.923408023435409e-7,***,-0.026380078105359254,-0.011349940717931783,24688,5018
Placebo: choque ficticio en 2018 (datos 2015-2019),Empleo (trabajadores),0.026030070570534296,1.1427053379480452,0.9818271959216722,,-2.213672391807634,2.265732532948703,24696,5018
Placebo: choque ficticio en 2018 (datos 2015-2019),Empleo (log),-0.008347330310859222,0.006795106731451112,0.21934225582222786,,-0.0216657395045034,0.0049710788827849565,24689,5018
Placebo: choque ficticio en 2018 (datos 2015-2019),Ventas (log),-0.028793110890713673,0.010309669050225623,0.005244778514995522,***,-0.04900006222915589,-0.008586159552271454,24691,5018
