muestra,medida,controles,contraste,ee,t,p,n_obs,n_firmas
completa,exposure_de,ninguno,1.0859133091820333e-4,0.005086542292822916,0.021348752190938253,0.9829681434999635,53991,6179
completa,exposure_de,base2022,-0.0010433117197548333,0.007029327452993271,-0.14842269430919228,0.8820140349461487,53991,6179
completa,bite_de,ninguno,0.037158478865508104,0.004815431772353233,7.716541448857303,1.4286280052813183e-14,44615,5098
completa,bite_de,base2022,0.04829969279455974,0.006106016534904983,7.910180478296288,3.12832891053993e-15,44615,5098
comun,exposure_de,ninguno,0.0046599239264541745,0.004787674618596009,0.9733167555611167,0.3304420852715939,44615,5098
comun,exposure_de,base2022,0.0060187447005513855,0.0058402097033207305,1.03056996346024,0.3027914264645212,44615,5098
comun,bite_de,ninguno,0.037158478865508104,0.004815431772353233,7.716541448857303,1.4286280052813183e-14,44615,5098
comun,bite_de,base2022,0.04829969279455974,0.006106016534904983,7.910180478296288,3.12832891053993e-15,44615,5098
