variable,tipo_dimension,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
participacion_permanente,principal,ANIO_F::2019:exposicion_10pp,-0.13708,0.216316,-0.6337,0.5263,-0.561136,0.286976,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R23C3,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.010509,0.003591,2.926,0.003447,0.003468,0.017549,2015 (ref.); especificacion: Sin controles
asinh_C3R23C3,mecanismo_extension,ANIO_F::2017:exposicion_10pp,0.012355,0.003896,3.1709,0.001527,0.004717,0.019993,2015 (ref.); especificacion: Sin controles
asinh_C3R23C3,mecanismo_extension,ANIO_F::2018:exposicion_10pp,0.011731,0.004325,2.7126,0.006695,0.003253,0.020209,2015 (ref.); especificacion: Sin controles
asinh_C3R23C3,mecanismo_extension,ANIO_F::2019:exposicion_10pp,0.021219,0.004586,4.6271,3.785e-6,0.012229,0.030208,2015 (ref.); especificacion: Sin controles
asinh_C3R23C3,mecanismo_extension,ANIO_F::2016:exposicion_10pp,-0.002933,0.013868,-0.2115,0.8325,-0.03012,0.024253,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R23C3,mecanismo_extension,ANIO_F::2017:exposicion_10pp,-0.001277,0.015672,-0.0815,0.9351,-0.032,0.029447,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R23C3,mecanismo_extension,ANIO_F::2018:exposicion_10pp,-0.009377,0.015421,-0.6081,0.5432,-0.039608,0.020854,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R23C3,mecanismo_extension,ANIO_F::2019:exposicion_10pp,-0.001496,0.015686,-0.0954,0.924,-0.032247,0.029254,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R41C3,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.037661,0.01113,3.3837,7.197e-4,0.015842,0.05948,2015 (ref.); especificacion: Sin controles
asinh_C3R41C3,mecanismo_extension,ANIO_F::2017:exposicion_10pp,0.037892,0.011906,3.1827,0.001466,0.014553,0.061231,2015 (ref.); especificacion: Sin controles
asinh_C3R41C3,mecanismo_extension,ANIO_F::2018:exposicion_10pp,0.058877,0.01258,4.6804,2.926e-6,0.034217,0.083538,2015 (ref.); especificacion: Sin controles
asinh_C3R41C3,mecanismo_extension,ANIO_F::2019:exposicion_10pp,0.07777,0.013116,5.9294,3.207e-9,0.052058,0.103482,2015 (ref.); especificacion: Sin controles
asinh_C3R41C3,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.034887,0.033781,1.0327,0.3018,-0.031336,0.101109,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R41C3,mecanismo_extension,ANIO_F::2017:exposicion_10pp,0.035323,0.035305,1.0005,0.3171,-0.033887,0.104532,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R41C3,mecanismo_extension,ANIO_F::2018:exposicion_10pp,0.008619,0.037864,0.2276,0.8199,-0.065607,0.082846,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R41C3,mecanismo_extension,ANIO_F::2019:exposicion_10pp,-0.018602,0.038364,-0.4849,0.6278,-0.093808,0.056605,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C7R10C2,mecanismo_extension,ANIO_F::2016:exposicion_10pp,-0.008971,0.011763,-0.7627,0.4457,-0.03203,0.014088,2015 (ref.); especificacion: Sin controles
asinh_C7R10C2,mecanismo_extension,ANIO_F::2017:exposicion_10pp,-0.073446,0.013362,-5.4966,4.029e-8,-0.09964,-0.047251,2015 (ref.); especificacion: Sin controles
asinh_C7R10C2,mecanismo_extension,ANIO_F::2018:exposicion_10pp,-0.074017,0.013354,-5.5425,3.107e-8,-0.100196,-0.047837,2015 (ref.); especificacion: Sin controles
asinh_C7R10C2,mecanismo_extension,ANIO_F::2019:exposicion_10pp,-0.069259,0.013939,-4.9686,6.928e-7,-0.096586,-0.041933,2015 (ref.); especificacion: Sin controles
asinh_C7R10C2,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.014934,0.038532,0.3876,0.6983,-0.060602,0.090471,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C7R10C2,mecanismo_extension,ANIO_F::2017:exposicion_10pp,-0.013181,0.039824,-0.331,0.7407,-0.09125,0.064887,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C7R10C2,mecanismo_extension,ANIO_F::2018:exposicion_10pp,-0.0289,0.041062,-0.7038,0.4816,-0.109396,0.051596,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C7R10C2,mecanismo_extension,ANIO_F::2019:exposicion_10pp,-0.076198,0.043105,-1.7677,0.07716,-0.160699,0.008303,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_VALORVEN,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.007024,0.00211,3.3291,8.765e-4,0.002888,0.011161,2015 (ref.); especificacion: Sin controles
asinh_VALORVEN,mecanismo_extension,ANIO_F::2017:exposicion_10pp,0.004173,0.002304,1.8114,0.07013,-3.43e-4,0.00869,2015 (ref.); especificacion: Sin controles
asinh_VALORVEN,mecanismo_extension,ANIO_F::2018:exposicion_10pp,0.011647,0.002493,4.6713,3.057e-6,0.006759,0.016534,2015 (ref.); especificacion: Sin controles
asinh_VALORVEN,mecanismo_extension,ANIO_F::2019:exposicion_10pp,0.01976,0.002319,8.5224,1.949e-17,0.015215,0.024305,2015 (ref.); especificacion: Sin controles
asinh_VALORVEN,mecanismo_extension,ANIO_F::2016:exposicion_10pp,-0.001453,0.008054,-0.1804,0.8569,-0.017242,0.014337,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_VALORVEN,mecanismo_extension,ANIO_F::2017:exposicion_10pp,-0.002093,0.007435,-0.2815,0.7784,-0.016669,0.012483,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_VALORVEN,mecanismo_extension,ANIO_F::2018:exposicion_10pp,-0.007289,0.006634,-1.0986,0.272,-0.020294,0.005717,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_VALORVEN,mecanismo_extension,ANIO_F::2019:exposicion_10pp,-0.006502,0.005954,-1.092,0.2749,-0.018174,0.00517,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
