termino,anio,beta,ee,ic_inf,ic_sup,outcome,anio_base
ANIO_F::2015:bite2019_de,2015,0.4381632628213352,2.4455520828965147,-4.355118819655834,5.2314453452985035,empleo_total,2019
ANIO_F::2016:bite2019_de,2016,-1.4891635512223835,2.054975858333194,-5.5169162335554445,2.538589131110677,empleo_total,2019
ANIO_F::2017:bite2019_de,2017,-1.6379095703365185,1.7344878666333965,-5.037505788937976,1.7616866482649387,empleo_total,2019
ANIO_F::2018:bite2019_de,2018,-2.560847419994729,1.5268223537759398,-5.553419233395571,0.431724393406113,empleo_total,2019
ANIO_F::2019:bite2019_de,2019,-2.4832980220889045,1.3434813020121203,-5.1165213740326605,0.14992532985485152,empleo_total,2019
ANIO_F::2021:bite2019_de,2021,-0.9678343304355947,0.9569352148419117,-2.8434273515257416,0.9077586906545521,empleo_total,2019
referencia,2022,0,0,0,0,empleo_total,2019
ANIO_F::2023:bite2019_de,2023,-3.413746245560489,1.2689215704146948,-5.900832523573291,-0.9266599675476872,empleo_total,2019
ANIO_F::2024:bite2019_de,2024,-3.5980823142620917,1.699407145001369,-6.928920318464774,-0.26724431005940863,empleo_total,2019
ANIO_F::2015:bite2021_de,2015,1.7435662423838427,2.0441093396207752,-2.2628880632728765,5.7500205480405615,empleo_total,2021
ANIO_F::2016:bite2021_de,2016,0.24881108777000005,2.0410702889665244,-3.751686678604388,4.249308854144388,empleo_total,2021
ANIO_F::2017:bite2021_de,2017,0.293497144703712,1.849520063685257,-3.3315621801193913,3.9185564695268154,empleo_total,2021
ANIO_F::2018:bite2021_de,2018,-0.9997880703113124,1.3987575813360513,-3.741352929729973,1.7417767891073481,empleo_total,2021
ANIO_F::2019:bite2021_de,2019,-1.808092930694385,1.0977982505267558,-3.959777501726826,0.34359164033805634,empleo_total,2021
ANIO_F::2021:bite2021_de,2021,-1.841772883898606,0.9135341820202116,-3.6322998806582207,-0.051245887138991364,empleo_total,2021
referencia,2022,0,0,0,0,empleo_total,2021
ANIO_F::2023:bite2021_de,2023,-3.127568598915648,1.1383400272970352,-5.358715052417837,-0.8964221454134589,empleo_total,2021
ANIO_F::2024:bite2021_de,2024,-4.04281255678819,1.5907718719785133,-7.160725425866076,-0.9248996877103042,empleo_total,2021
ANIO_F::2015:bite2022_de,2015,1.3075215663543878,2.204033221078123,-3.0123835469587332,5.627426679667509,empleo_total,2022
ANIO_F::2016:bite2022_de,2016,0.4664150699674756,2.4491366876569316,-4.33389283784011,5.2667229777750615,empleo_total,2022
ANIO_F::2017:bite2022_de,2017,1.5832101701671113,2.305293165223713,-2.9351644336713663,6.101584774005589,empleo_total,2022
ANIO_F::2018:bite2022_de,2018,1.3914927980346707,2.0084006291347296,-2.544972435069399,5.32795803113874,empleo_total,2022
ANIO_F::2019:bite2022_de,2019,0.8938400209111969,1.6703017376150593,-2.3799513848143192,4.167631426636713,empleo_total,2022
ANIO_F::2021:bite2022_de,2021,1.5148417867997233,1.4398451433838213,-1.3072546942325665,4.3369382678320125,empleo_total,2022
referencia,2022,0,0,0,0,empleo_total,2022
ANIO_F::2023:bite2022_de,2023,-1.2243205497899434,1.5674033175059765,-4.296431052101657,1.8477899525217705,empleo_total,2022
ANIO_F::2024:bite2022_de,2024,-0.318403639485219,1.7625847465026305,-3.773069742630375,3.136262463659937,empleo_total,2022
ANIO_F::2015:bite2019_de,2015,-3.1102445700204178,1.738527713726135,-6.517758888923643,0.2972697488828069,empleo_permanente,2019
ANIO_F::2016:bite2019_de,2016,-3.834289058955034,1.5643094341944288,-6.9003355499761145,-0.7682425679339535,empleo_permanente,2019
ANIO_F::2017:bite2019_de,2017,-2.9040659313800488,1.390305354462427,-5.629064426126406,-0.17906743663369173,empleo_permanente,2019
ANIO_F::2018:bite2019_de,2018,-2.699928618212361,1.2872317436403344,-5.2229028357474165,-0.17695440067730583,empleo_permanente,2019
ANIO_F::2019:bite2019_de,2019,-2.0773272270427157,1.0525240190725016,-4.140274304424819,-0.014380149660612407,empleo_permanente,2019
ANIO_F::2021:bite2019_de,2021,-0.9404751652521925,0.6714626627369716,-2.256541984216657,0.3755916537122719,empleo_permanente,2019
referencia,2022,0,0,0,0,empleo_permanente,2019
ANIO_F::2023:bite2019_de,2023,-2.6953730020277202,0.9667299840320838,-4.590163770730604,-0.800582233324836,empleo_permanente,2019
ANIO_F::2024:bite2019_de,2024,-3.49415497811132,1.283182851012164,-6.009193366095161,-0.9791165901274788,empleo_permanente,2019
ANIO_F::2015:bite2021_de,2015,-3.2107967806453925,1.5609793898490587,-6.270316384749547,-0.1512771765412375,empleo_permanente,2021
ANIO_F::2016:bite2021_de,2016,-3.7957361037552455,1.6713764876074535,-7.071634019465854,-0.5198381880446368,empleo_permanente,2021
ANIO_F::2017:bite2021_de,2017,-3.0486406952094542,1.570770391366616,-6.127350662288022,0.030069271869113123,empleo_permanente,2021
ANIO_F::2018:bite2021_de,2018,-2.900259743578797,1.142194595874216,-5.138961151492261,-0.6615583356653336,empleo_permanente,2021
ANIO_F::2019:bite2021_de,2019,-2.564976235958704,0.81426765740951,-4.160940844481344,-0.9690116274360643,empleo_permanente,2021
ANIO_F::2021:bite2021_de,2021,-1.2154320203972282,0.6267803116999485,-2.4439214313291275,0.01305739053467092,empleo_permanente,2021
referencia,2022,0,0,0,0,empleo_permanente,2021
ANIO_F::2023:bite2021_de,2023,-2.3063032952486626,0.8409671101241997,-3.9545988310920936,-0.6580077594052314,empleo_permanente,2021
ANIO_F::2024:bite2021_de,2024,-3.2189863224395365,1.145241927652589,-5.4636605006386105,-0.9743121442404621,empleo_permanente,2021
ANIO_F::2015:bite2022_de,2015,-4.731057850270537,1.6850566048545128,-8.033768795785383,-1.4283469047556925,empleo_permanente,2022
ANIO_F::2016:bite2022_de,2016,-4.881524874521935,1.8067598485137382,-8.422774177608861,-1.3402755714350079,empleo_permanente,2022
ANIO_F::2017:bite2022_de,2017,-3.6308132493904304,1.7255785844968903,-7.012947275004335,-0.2486792237765254,empleo_permanente,2022
ANIO_F::2018:bite2022_de,2018,-2.5977954218222554,1.533670948436988,-5.603790480758752,0.4081996371142407,empleo_permanente,2022
ANIO_F::2019:bite2022_de,2019,-2.108458664162474,1.1683154736572134,-4.398356992530612,0.18143966420566437,empleo_permanente,2022
ANIO_F::2021:bite2022_de,2021,-0.26830854334942555,0.9351356925227754,-2.101174500694065,1.5645574139952143,empleo_permanente,2022
referencia,2022,0,0,0,0,empleo_permanente,2022
ANIO_F::2023:bite2022_de,2023,-1.5143591217660983,0.9720596020880935,-3.419595941858762,0.39087769832656494,empleo_permanente,2022
ANIO_F::2024:bite2022_de,2024,-1.421484532192511,1.162257024636124,-3.6995083004793137,0.8565392360942918,empleo_permanente,2022
ANIO_F::2015:bite2019_de,2015,3.4917923579826824,1.6248649108569486,0.3070571327030631,6.676527583262302,empleo_temporal,2019
ANIO_F::2016:bite2019_de,2016,2.371797952801912,1.1935837457737672,0.032373811085328,4.7112220945184955,empleo_temporal,2019
ANIO_F::2017:bite2019_de,2017,1.1911608521249906,1.0924875623814634,-0.9501147701426778,3.332436474392659,empleo_temporal,2019
ANIO_F::2018:bite2019_de,2018,0.16441761109048791,0.8789307573029861,-1.558286673223365,1.8871218954043405,empleo_temporal,2019
ANIO_F::2019:bite2019_de,2019,-0.5292564285424105,0.8364375373105087,-2.1686740016710075,1.1101611445861868,empleo_temporal,2019
ANIO_F::2021:bite2019_de,2021,-0.04317323209233481,0.542664474583354,-1.1067956022757086,1.020449138091039,empleo_temporal,2019
referencia,2022,0,0,0,0,empleo_temporal,2019
ANIO_F::2023:bite2019_de,2023,-0.6875567521868005,0.7092765494981874,-2.0777387892032477,0.7026252848296468,empleo_temporal,2019
ANIO_F::2024:bite2019_de,2024,-0.027506026951884976,0.9273111598552799,-1.8450359002682335,1.7900238463644635,empleo_temporal,2019
ANIO_F::2015:bite2021_de,2015,4.9140109144131605,1.418703808828085,2.1333514491101138,7.694670379716207,empleo_temporal,2021
ANIO_F::2016:bite2021_de,2016,4.06841908125962,1.1970313438866973,1.7222376472416934,6.414600515277547,empleo_temporal,2021
ANIO_F::2017:bite2021_de,2017,3.3010347559799955,1.1517870978398963,1.0435320442137987,5.558537467746192,empleo_temporal,2021
ANIO_F::2018:bite2021_de,2018,1.957303321592041,0.8987964248348622,0.19566232891571111,3.718944314268371,empleo_temporal,2021
ANIO_F::2019:bite2021_de,2019,0.861153955620078,0.6957204461602448,-0.5024581188540016,2.2247660300941576,empleo_temporal,2021
ANIO_F::2021:bite2021_de,2021,-0.5797855891141435,0.5008910635236875,-1.5615320736205711,0.4019608953922841,empleo_temporal,2021
referencia,2022,0,0,0,0,empleo_temporal,2021
ANIO_F::2023:bite2021_de,2023,-0.7618749688318809,0.6057479393362503,-1.9491409299309315,0.4253909922671697,empleo_temporal,2021
ANIO_F::2024:bite2021_de,2024,-0.6773358690440827,0.8560582592013511,-2.3552100570787307,1.0005383189905654,empleo_temporal,2021
ANIO_F::2015:bite2022_de,2015,5.883996976907678,1.5539619592969087,2.838231536685737,8.92976241712962,empleo_temporal,2022
ANIO_F::2016:bite2022_de,2016,5.306284349343093,1.3398768505720426,2.6801257222218893,7.932442976464296,empleo_temporal,2022
ANIO_F::2017:bite2022_de,2017,5.089272456942376,1.3237566483132457,2.494709426248414,7.683835487636337,empleo_temporal,2022
ANIO_F::2018:bite2022_de,2018,3.950109721370585,1.1190829451496458,1.7567071488772794,6.143512293863891,empleo_temporal,2022
ANIO_F::2019:bite2022_de,2019,3.0416147411005428,0.9395086143324254,1.200177857008989,4.883051625192096,empleo_temporal,2022
ANIO_F::2021:bite2022_de,2021,1.7592639668415622,0.660746051758408,0.46420170539508265,3.0543262282880415,empleo_temporal,2022
referencia,2022,0,0,0,0,empleo_temporal,2022
