metrica,valor
Firmas totales en el panel 2022,6186
Firmas multiplanta en 2022 (Multi_f),262
% de firmas que son multiplanta,4.235
"Empleo total de la muestra 2022 (PERTOTAL, suma)",710060
"Empleo en firmas multiplanta 2022 (PERTOTAL, suma)",152227
% del empleo total que concentran las firmas multiplanta,21.439
