nivel,N,media,mediana,DE,p10,p25,p50,p75,p90,minimo,maximo,pct_exactamente_0,pct_exactamente_1
Establecimiento (Exposure2022_obreros_est),6761,0.6013,0.6329,0.2308,0.2857,0.4658,0.6329,0.7692,0.875,0,1,3.032,2.485
Firma (Exposure2022_obreros),6180,0.6021,0.6316,0.2264,0.2916,0.4717,0.6316,0.7692,0.8696,0,1,2.88,2.006
