variable,tipo_dimension,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
participacion_permanente,principal,ANIO_F::2019:exposicion_10pp,-0.171758,0.205844,-0.8344,0.4041,-0.575284,0.231768,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R23C3,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.010949,0.003495,3.1325,0.001742,0.004097,0.0178,2015 (ref.); especificacion: Sin controles
asinh_C3R23C3,mecanismo_extension,ANIO_F::2017:exposicion_10pp,0.013195,0.003839,3.4373,5.914e-4,0.00567,0.02072,2015 (ref.); especificacion: Sin controles
asinh_C3R23C3,mecanismo_extension,ANIO_F::2018:exposicion_10pp,0.012875,0.004142,3.1084,0.00189,0.004755,0.020995,2015 (ref.); especificacion: Sin controles
asinh_C3R23C3,mecanismo_extension,ANIO_F::2019:exposicion_10pp,0.022805,0.004381,5.2051,2.002e-7,0.014216,0.031394,2015 (ref.); especificacion: Sin controles
asinh_C3R23C3,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.002641,0.013295,0.1986,0.8426,-0.023422,0.028704,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R23C3,mecanismo_extension,ANIO_F::2017:exposicion_10pp,0.004989,0.015035,0.3318,0.74,-0.024485,0.034463,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R23C3,mecanismo_extension,ANIO_F::2018:exposicion_10pp,-0.004518,0.01539,-0.2936,0.7691,-0.034687,0.025651,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R23C3,mecanismo_extension,ANIO_F::2019:exposicion_10pp,-0.002811,0.014948,-0.1881,0.8508,-0.032115,0.026493,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R41C3,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.038682,0.01115,3.4691,5.258e-4,0.016823,0.06054,2015 (ref.); especificacion: Sin controles
asinh_C3R41C3,mecanismo_extension,ANIO_F::2017:exposicion_10pp,0.040805,0.011997,3.4013,6.75e-4,0.017287,0.064323,2015 (ref.); especificacion: Sin controles
asinh_C3R41C3,mecanismo_extension,ANIO_F::2018:exposicion_10pp,0.061207,0.012541,4.8806,1.084e-6,0.036623,0.085791,2015 (ref.); especificacion: Sin controles
asinh_C3R41C3,mecanismo_extension,ANIO_F::2019:exposicion_10pp,0.079843,0.01307,6.109,1.065e-9,0.054222,0.105464,2015 (ref.); especificacion: Sin controles
asinh_C3R41C3,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.042076,0.03243,1.2974,0.1945,-0.021498,0.10565,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R41C3,mecanismo_extension,ANIO_F::2017:exposicion_10pp,0.049897,0.03396,1.4693,0.1418,-0.016677,0.116471,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R41C3,mecanismo_extension,ANIO_F::2018:exposicion_10pp,0.021731,0.036213,0.6001,0.5485,-0.049259,0.092721,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C3R41C3,mecanismo_extension,ANIO_F::2019:exposicion_10pp,-0.009959,0.037087,-0.2685,0.7883,-0.082663,0.062745,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C7R10C2,mecanismo_extension,ANIO_F::2016:exposicion_10pp,-0.006634,0.011856,-0.5596,0.5758,-0.029875,0.016607,2015 (ref.); especificacion: Sin controles
asinh_C7R10C2,mecanismo_extension,ANIO_F::2017:exposicion_10pp,-0.068757,0.012771,-5.384,7.557e-8,-0.093792,-0.043722,2015 (ref.); especificacion: Sin controles
asinh_C7R10C2,mecanismo_extension,ANIO_F::2018:exposicion_10pp,-0.069114,0.013378,-5.1661,2.466e-7,-0.09534,-0.042888,2015 (ref.); especificacion: Sin controles
asinh_C7R10C2,mecanismo_extension,ANIO_F::2019:exposicion_10pp,-0.064395,0.013762,-4.6791,2.944e-6,-0.091374,-0.037416,2015 (ref.); especificacion: Sin controles
asinh_C7R10C2,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.018251,0.03761,0.4853,0.6275,-0.055477,0.091979,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
