grupo,n_establecimientos,n_firmas,media,mediana,DE,p10,p25,p50,p75,p90
Multiplanta,843,262,0.5836,0.61,0.2505,0.2225,0.4272,0.61,0.7652,0.8936
Monoplanta,5918,5918,0.6038,0.636,0.2277,0.2901,0.4753,0.636,0.7692,0.8718
