especificacion,incremento_2022_2023,incremento_tipico_2016_2019,contraste,se_contraste,t_stat,df,p_value,atipico_al_5pct
Sin controles,0.016082,0.008692,0.007391,9e-4,8.209,6218,2.699e-16,TRUE
Con sector*anio + tamano*anio + departamento*anio,1.29e-4,-0.001289,0.001419,0.004279,0.332,6218,0.7402,FALSE
