especificacion,n_obs,n_establecimientos,n_firmas,f_stat,df1,df2,p_value
Sin controles,58857,6761,6220,1885.655,8,6218,0
Con sector*anio + tamano*anio + departamento*anio,58856,6761,6220,2.145,8,6218,0.02864
