NORDEST,n_anios,n_dptos_distintos,secuencia,patron,anio_cambio,dpto_antes,dpto_despues
142090,12,2,2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:13 | 2021:13 | 2022:13 | 2023:13 | 2024:13,cambio_sostenido,2020,11,13
142168,5,2,2011:76 | 2012:68 | 2013:68 | 2014:68 | 2015:68,cambio_sostenido,2012,76,68
142169,14,2,2011:73 | 2012:76 | 2013:76 | 2014:76 | 2015:76 | 2016:76 | 2017:76 | 2018:76 | 2019:76 | 2020:76 | 2021:76 | 2022:76 | 2023:76 | 2024:76,cambio_sostenido,2012,73,76
142325,14,2,2011:8 | 2012:13 | 2013:13 | 2014:13 | 2015:13 | 2016:13 | 2017:13 | 2018:13 | 2019:13 | 2020:13 | 2021:13 | 2022:13 | 2023:13 | 2024:13,cambio_sostenido,2012,8,13
142338,14,2,2011:13 | 2012:13 | 2013:17 | 2014:17 | 2015:17 | 2016:17 | 2017:17 | 2018:17 | 2019:17 | 2020:17 | 2021:17 | 2022:17 | 2023:17 | 2024:17,cambio_sostenido,2013,13,17
142376,14,2,2011:11 | 2012:50 | 2013:50 | 2014:50 | 2015:50 | 2016:50 | 2017:50 | 2018:50 | 2019:50 | 2020:50 | 2021:50 | 2022:50 | 2023:50 | 2024:50,cambio_sostenido,2012,11,50
142397,8,2,2010:5 | 2011:5 | 2012:5 | 2013:5 | 2014:5 | 2015:5 | 2016:5 | 2017:17,cambio_sostenido,2017,5,17
142440,4,2,2010:11 | 2011:25 | 2012:25 | 2015:25,cambio_sostenido,2011,11,25
142526,15,2,2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2012,11,25
142528,15,2,2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2012,11,25
142556,4,2,2010:11 | 2011:11 | 2012:25 | 2013:25,cambio_sostenido,2012,11,25
142592,15,2,2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2012,11,25
